Saison,Journée,Domicile,Extérieur,Buts domicile,Buts extérieur,Résultat
2022-2023,1,Lyon,Ajaccio,2,1,D
2022-2023,1,Strasbourg,Monaco,1,2,E
2022-2023,1,Clermont,PSG,0,5,E
2022-2023,1,Toulouse,Nice,1,1,N
2022-2023,1,Angers,Nantes,0,0,N
2022-2023,1,Lens,Brest,3,2,D
2022-2023,1,Montpellier,Troyes,3,2,D
2022-2023,1,Lille,Auxerre,4,1,D
2022-2023,1,Rennais,Lorient,0,1,E
2022-2023,1,Marseille,Reims,4,1,D
2022-2023,2,Nantes,Lille,1,1,N
2022-2023,2,Monaco,Rennais,1,1,N
2022-2023,2,PSG,Montpellier,5,2,D
2022-2023,2,Ajaccio,Lens,0,0,N
2022-2023,2,Reims,Clermont,2,4,E
2022-2023,2,Troyes,Toulouse,0,3,E
2022-2023,2,Auxerre,Angers,2,2,N
2022-2023,2,Nice,Strasbourg,1,1,N
2022-2023,2,Brest,Marseille,1,1,N
2022-2023,2,Lorient,Lyon,3,1,D
2022-2023,3,Lyon,Troyes,4,1,D
2022-2023,3,Monaco,Lens,1,4,E
2022-2023,3,Marseille,Nantes,2,1,D
2022-2023,3,Strasbourg,Reims,1,1,N
2022-2023,3,Toulouse,Lorient,2,2,N
2022-2023,3,Angers,Brest,1,3,E
2022-2023,3,Clermont,Nice,1,0,D
2022-2023,3,Montpellier,Auxerre,1,2,E
2022-2023,3,Rennais,Ajaccio,2,1,D
2022-2023,3,Lille,PSG,1,7,E
2022-2023,4,Ajaccio,Lille,1,3,E
2022-2023,4,Auxerre,Strasbourg,1,0,D
2022-2023,4,Lens,Rennais,2,1,D
2022-2023,4,Nantes,Toulouse,3,1,D
2022-2023,4,Brest,Montpellier,0,7,E
2022-2023,4,Nice,Marseille,0,3,E
2022-2023,4,Lorient,Clermont,2,1,D
2022-2023,4,Troyes,Angers,3,1,D
2022-2023,4,Reims,Lyon,1,1,N
2022-2023,4,PSG,Monaco,1,1,N
2022-2023,5,Lyon,Auxerre,2,1,D
2022-2023,5,Strasbourg,Nantes,1,1,N
2022-2023,5,Angers,Reims,2,4,E
2022-2023,5,Monaco,Troyes,2,4,E
2022-2023,5,Montpellier,Ajaccio,2,0,D
2022-2023,5,Lille,Nice,1,2,E
2022-2023,5,Lens,Lorient,5,2,D
2022-2023,5,Rennais,Brest,3,1,D
2022-2023,5,Toulouse,PSG,0,3,E
2022-2023,5,Marseille,Clermont,1,0,D
2022-2023,6,Auxerre,Marseille,0,2,E
2022-2023,6,Lyon,Angers,5,0,D
2022-2023,6,Nantes,PSG,0,3,E
2022-2023,6,Montpellier,Lille,1,3,E
2022-2023,6,Brest,Strasbourg,1,1,N
2022-2023,6,Ajaccio,Lorient,0,1,E
2022-2023,6,Reims,Lens,1,1,N
2022-2023,6,Clermont,Toulouse,2,0,D
2022-2023,6,Troyes,Rennais,1,1,N
2022-2023,6,Nice,Monaco,0,1,E
2022-2023,7,Lens,Troyes,1,0,D
2022-2023,7,PSG,Brest,1,0,D
2022-2023,7,Marseille,Lille,2,1,D
2022-2023,7,Strasbourg,Clermont,0,0,N
2022-2023,7,Toulouse,Reims,1,0,D
2022-2023,7,Ajaccio,Nice,0,1,E
2022-2023,7,Lorient,Nantes,3,2,D
2022-2023,7,Angers,Montpellier,2,1,D
2022-2023,7,Rennais,Auxerre,5,0,D
2022-2023,7,Monaco,Lyon,2,1,D
2022-2023,8,Auxerre,Lorient,1,3,E
2022-2023,8,Montpellier,Strasbourg,2,1,D
2022-2023,8,Lille,Toulouse,2,1,D
2022-2023,8,Reims,Monaco,0,3,E
2022-2023,8,Marseille,Rennais,1,1,N
2022-2023,8,Nice,Angers,0,1,E
2022-2023,8,Brest,Ajaccio,0,1,E
2022-2023,8,Clermont,Troyes,1,3,E
2022-2023,8,Nantes,Lens,0,0,N
2022-2023,8,Lyon,PSG,0,1,E
2022-2023,9,Angers,Marseille,0,3,E
2022-2023,9,Strasbourg,Rennais,1,3,E
2022-2023,9,PSG,Nice,2,1,D
2022-2023,9,Lorient,Lille,2,1,D
2022-2023,9,Toulouse,Montpellier,4,2,D
2022-2023,9,Ajaccio,Clermont,1,3,E
2022-2023,9,Troyes,Reims,2,2,N
2022-2023,9,Auxerre,Brest,1,1,N
2022-2023,9,Monaco,Nantes,4,1,D
2022-2023,9,Lens,Lyon,1,0,D
2022-2023,10,Lyon,Toulouse,1,1,N
2022-2023,10,Marseille,Ajaccio,1,2,E
2022-2023,10,Reims,PSG,0,0,N
2022-2023,10,Montpellier,Monaco,0,2,E
2022-2023,10,Nice,Troyes,3,2,D
2022-2023,10,Brest,Lorient,1,2,E
2022-2023,10,Angers,Strasbourg,2,3,E
2022-2023,10,Clermont,Auxerre,2,1,D
2022-2023,10,Rennais,Nantes,3,0,D
2022-2023,10,Lille,Lens,1,0,D
2022-2023,11,Strasbourg,Lille,0,3,E
2022-2023,11,Lorient,Reims,0,0,N
2022-2023,11,Lens,Montpellier,1,0,D
2022-2023,11,Toulouse,Angers,3,2,D
2022-2023,11,Auxerre,Nice,1,1,N
2022-2023,11,Rennais,Lyon,3,2,D
2022-2023,11,Troyes,Ajaccio,1,1,N
2022-2023,11,Nantes,Brest,4,1,D
2022-2023,11,Monaco,Clermont,1,1,N
2022-2023,11,PSG,Marseille,1,0,D
2022-2023,12,Ajaccio,PSG,0,3,E
2022-2023,12,Montpellier,Lyon,1,2,E
2022-2023,12,Marseille,Lens,0,1,E
2022-2023,12,Angers,Rennais,1,2,E
2022-2023,12,Toulouse,Strasbourg,2,2,N
2022-2023,12,Reims,Auxerre,2,1,D
2022-2023,12,Troyes,Lorient,2,2,N
2022-2023,12,Clermont,Brest,1,3,E
2022-2023,12,Nice,Nantes,1,1,N
2022-2023,12,Lille,Monaco,4,3,D
2022-2023,13,Lens,Toulouse,3,0,D
2022-2023,13,PSG,Troyes,4,3,D
2022-2023,13,Strasbourg,Marseille,2,2,N
2022-2023,13,Auxerre,Ajaccio,1,0,D
2022-2023,13,Rennais,Montpellier,3,0,D
2022-2023,13,Brest,Reims,0,0,N
2022-2023,13,Nantes,Clermont,1,1,N
2022-2023,13,Monaco,Angers,2,0,D
2022-2023,13,Lorient,Nice,1,2,E
2022-2023,13,Lyon,Lille,1,0,D
2022-2023,14,Troyes,Auxerre,1,1,N
2022-2023,14,Ajaccio,Strasbourg,4,2,D
2022-2023,14,Angers,Lens,1,2,E
2022-2023,14,Lorient,PSG,1,2,E
2022-2023,14,Toulouse,Monaco,0,2,E
2022-2023,14,Nice,Brest,1,0,D
2022-2023,14,Reims,Nantes,1,0,D
2022-2023,14,Clermont,Montpellier,1,1,N
2022-2023,14,Lille,Rennais,1,1,N
2022-2023,14,Marseille,Lyon,1,0,D
2022-2023,15,Lyon,Nice,1,1,N
2022-2023,15,Lens,Clermont,2,1,D
2022-2023,15,Rennais,Toulouse,2,1,D
2022-2023,15,PSG,Auxerre,5,0,D
2022-2023,15,Brest,Troyes,2,1,D
2022-2023,15,Nantes,Ajaccio,2,2,N
2022-2023,15,Montpellier,Reims,1,1,N
2022-2023,15,Lille,Angers,1,0,D
2022-2023,15,Strasbourg,Lorient,1,1,N
2022-2023,15,Monaco,Marseille,2,3,E
2022-2023,16,Troyes,Nantes,0,0,N
2022-2023,16,Ajaccio,Angers,1,0,D
2022-2023,16,Auxerre,Monaco,2,3,E
2022-2023,16,Clermont,Lille,0,2,E
2022-2023,16,PSG,Strasbourg,2,1,D
2022-2023,16,Brest,Lyon,2,4,E
2022-2023,16,Lorient,Montpellier,0,2,E
2022-2023,16,Reims,Rennais,3,1,D
2022-2023,16,Marseille,Toulouse,6,1,D
2022-2023,16,Nice,Lens,0,0,N
2022-2023,17,Toulouse,Ajaccio,2,0,D
2022-2023,17,Nantes,Auxerre,1,0,D
2022-2023,17,Monaco,Brest,1,0,D
2022-2023,17,Angers,Lorient,1,2,E
2022-2023,17,Lyon,Clermont,0,1,E
2022-2023,17,Lens,PSG,3,1,D
2022-2023,17,Strasbourg,Troyes,2,3,E
2022-2023,17,Lille,Reims,1,1,N
2022-2023,17,Montpellier,Marseille,1,2,E
2022-2023,17,Rennais,Nice,2,1,D
2022-2023,18,Nantes,Lyon,0,0,N
2022-2023,18,Auxerre,Toulouse,0,5,E
2022-2023,18,Clermont,Rennais,2,1,D
2022-2023,18,Brest,Lille,0,0,N
2022-2023,18,Ajaccio,Reims,0,1,E
2022-2023,18,PSG,Angers,2,0,D
2022-2023,18,Strasbourg,Lens,2,2,N
2022-2023,18,Nice,Montpellier,6,1,D
2022-2023,18,Lorient,Monaco,2,2,N
2022-2023,18,Troyes,Marseille,0,2,E
2022-2023,19,Lens,Auxerre,1,0,D
2022-2023,19,Marseille,Lorient,3,1,D
2022-2023,19,Lyon,Strasbourg,1,2,E
2022-2023,19,Lille,Troyes,5,1,D
2022-2023,19,Reims,Nice,0,0,N
2022-2023,19,Angers,Clermont,1,2,E
2022-2023,19,Montpellier,Nantes,0,3,E
2022-2023,19,Toulouse,Brest,1,1,N
2022-2023,19,Monaco,Ajaccio,7,1,D
2022-2023,19,Rennais,PSG,1,0,D
2022-2023,20,Lorient,Rennais,2,1,D
2022-2023,20,Troyes,Lens,1,1,N
2022-2023,20,Marseille,Monaco,1,1,N
2022-2023,20,Nice,Lille,1,0,D
2022-2023,20,Clermont,Nantes,0,0,N
2022-2023,20,Strasbourg,Toulouse,1,2,E
2022-2023,20,Brest,Angers,4,0,D
2022-2023,20,Auxerre,Montpellier,0,2,E
2022-2023,20,Ajaccio,Lyon,0,2,E
2022-2023,20,PSG,Reims,1,1,N
2022-2023,21,Lille,Clermont,0,0,N
2022-2023,21,Reims,Lorient,4,2,D
2022-2023,21,Nantes,Marseille,0,2,E
2022-2023,21,Toulouse,Troyes,4,1,D
2022-2023,21,Angers,Ajaccio,1,2,E
2022-2023,21,Lyon,Brest,0,0,N
2022-2023,21,Montpellier,PSG,1,3,E
2022-2023,21,Rennais,Strasbourg,3,0,D
2022-2023,21,Monaco,Auxerre,3,2,D
2022-2023,21,Lens,Nice,0,1,E
2022-2023,22,PSG,Toulouse,2,1,D
2022-2023,22,Troyes,Lyon,1,3,E
2022-2023,22,Rennais,Lille,1,3,E
2022-2023,22,Clermont,Monaco,0,2,E
2022-2023,22,Ajaccio,Nantes,0,2,E
2022-2023,22,Lorient,Angers,0,0,N
2022-2023,22,Auxerre,Reims,0,0,N
2022-2023,22,Strasbourg,Montpellier,2,0,D
2022-2023,22,Brest,Lens,1,1,N
2022-2023,22,Marseille,Nice,1,3,E
2022-2023,23,Nice,Ajaccio,3,0,D
2022-2023,23,Monaco,PSG,3,1,D
2022-2023,23,Clermont,Marseille,0,2,E
2022-2023,23,Toulouse,Rennais,3,1,D
2022-2023,23,Reims,Troyes,4,0,D
2022-2023,23,Angers,Auxerre,1,1,N
2022-2023,23,Montpellier,Brest,3,0,D
2022-2023,23,Lille,Strasbourg,2,0,D
2022-2023,23,Nantes,Lorient,1,0,D
2022-2023,23,Lyon,Lens,2,1,D
2022-2023,24,Auxerre,Lyon,2,1,D
2022-2023,24,Nice,Reims,0,0,N
2022-2023,24,Strasbourg,Angers,2,1,D
2022-2023,24,PSG,Lille,4,3,D
2022-2023,24,Brest,Monaco,1,2,E
2022-2023,24,Lorient,Ajaccio,3,0,D
2022-2023,24,Troyes,Montpellier,0,1,E
2022-2023,24,Rennais,Clermont,2,0,D
2022-2023,24,Lens,Nantes,3,1,D
2022-2023,24,Toulouse,Marseille,2,3,E
2022-2023,25,Lille,Brest,2,1,D
2022-2023,25,Angers,Lyon,1,3,E
2022-2023,25,Montpellier,Lens,1,1,N
2022-2023,25,Lorient,Auxerre,0,1,E
2022-2023,25,Ajaccio,Troyes,2,1,D
2022-2023,25,Reims,Toulouse,3,0,D
2022-2023,25,Nantes,Rennais,0,1,E
2022-2023,25,Clermont,Strasbourg,1,1,N
2022-2023,25,Monaco,Nice,0,3,E
2022-2023,25,Marseille,PSG,0,3,E
2022-2023,26,Nice,Auxerre,1,1,N
2022-2023,26,Lens,Lille,1,1,N
2022-2023,26,PSG,Nantes,4,2,D
2022-2023,26,Troyes,Monaco,2,2,N
2022-2023,26,Reims,Ajaccio,1,0,D
2022-2023,26,Montpellier,Angers,5,0,D
2022-2023,26,Strasbourg,Brest,0,1,E
2022-2023,26,Toulouse,Clermont,0,1,E
2022-2023,26,Lyon,Lorient,0,0,N
2022-2023,26,Rennais,Marseille,0,1,E
2022-2023,27,Lille,Lyon,3,3,N
2022-2023,27,Auxerre,Rennais,0,0,N
2022-2023,27,Brest,PSG,1,2,E
2022-2023,27,Clermont,Lens,0,4,E
2022-2023,27,Ajaccio,Montpellier,0,1,E
2022-2023,27,Lorient,Troyes,2,0,D
2022-2023,27,Angers,Toulouse,0,2,E
2022-2023,27,Nantes,Nice,2,2,N
2022-2023,27,Monaco,Reims,0,1,E
2022-2023,27,Marseille,Strasbourg,2,2,N
2022-2023,28,Lyon,Nantes,1,1,N
2022-2023,28,Toulouse,Lille,0,2,E
2022-2023,28,Lens,Angers,3,0,D
2022-2023,28,Ajaccio,Monaco,0,2,E
2022-2023,28,Strasbourg,Auxerre,2,0,D
2022-2023,28,Montpellier,Clermont,2,1,D
2022-2023,28,Nice,Lorient,1,1,N
2022-2023,28,Troyes,Brest,2,2,N
2022-2023,28,PSG,Rennais,0,2,E
2022-2023,28,Reims,Marseille,1,2,E
2022-2023,29,Marseille,Montpellier,1,1,N
2022-2023,29,Auxerre,Troyes,1,0,D
2022-2023,29,Rennais,Lens,0,1,E
2022-2023,29,Lille,Lorient,3,1,D
2022-2023,29,Brest,Toulouse,3,1,D
2022-2023,29,Angers,Nice,1,1,N
2022-2023,29,Nantes,Reims,0,3,E
2022-2023,29,Clermont,Ajaccio,2,1,D
2022-2023,29,Monaco,Strasbourg,4,3,D
2022-2023,29,PSG,Lyon,0,1,E
2022-2023,30,Lens,Strasbourg,2,1,D
2022-2023,30,Angers,Lille,1,0,D
2022-2023,30,Nice,PSG,0,2,E
2022-2023,30,Lyon,Rennais,3,1,D
2022-2023,30,Montpellier,Toulouse,1,2,E
2022-2023,30,Ajaccio,Auxerre,0,3,E
2022-2023,30,Reims,Brest,1,1,N
2022-2023,30,Troyes,Clermont,0,2,E
2022-2023,30,Nantes,Monaco,2,2,N
2022-2023,30,Lorient,Marseille,0,0,N
2022-2023,31,Toulouse,Lyon,1,2,E
2022-2023,31,Rennais,Reims,3,0,D
2022-2023,31,PSG,Lens,3,1,D
2022-2023,31,Lille,Montpellier,2,1,D
2022-2023,31,Strasbourg,Ajaccio,3,1,D
2022-2023,31,Brest,Nice,1,0,D
2022-2023,31,Auxerre,Nantes,2,1,D
2022-2023,31,Clermont,Angers,2,1,D
2022-2023,31,Monaco,Lorient,3,1,D
2022-2023,31,Marseille,Troyes,3,1,D
2022-2023,32,Angers,PSG,1,2,E
2022-2023,32,Auxerre,Lille,1,1,N
2022-2023,32,Lens,Monaco,3,0,D
2022-2023,32,Reims,Strasbourg,0,2,E
2022-2023,32,Nice,Clermont,1,2,E
2022-2023,32,Ajaccio,Brest,0,0,N
2022-2023,32,Lorient,Toulouse,0,1,E
2022-2023,32,Nantes,Troyes,2,2,N
2022-2023,32,Montpellier,Rennais,1,0,D
2022-2023,32,Lyon,Marseille,1,2,E
2022-2023,33,Strasbourg,Lyon,1,2,E
2022-2023,33,Lille,Ajaccio,3,0,D
2022-2023,33,Monaco,Montpellier,0,4,E
2022-2023,33,Clermont,Reims,1,0,D
2022-2023,33,Rennais,Angers,4,2,D
2022-2023,33,Troyes,Nice,0,1,E
2022-2023,33,PSG,Lorient,1,3,E
2022-2023,33,Marseille,Auxerre,2,1,D
2022-2023,33,Toulouse,Lens,0,1,E
2022-2023,33,Brest,Nantes,2,0,D
2022-2023,34,Nice,Rennais,2,1,D
2022-2023,34,Reims,Lille,1,0,D
2022-2023,34,Lens,Marseille,2,1,D
2022-2023,34,Angers,Monaco,1,2,E
2022-2023,34,Nantes,Strasbourg,0,2,E
2022-2023,34,Ajaccio,Toulouse,0,0,N
2022-2023,34,Lorient,Brest,2,1,D
2022-2023,34,Auxerre,Clermont,1,1,N
2022-2023,34,Lyon,Montpellier,5,4,D
2022-2023,34,Troyes,PSG,1,3,E
2022-2023,35,Lens,Reims,2,1,D
2022-2023,35,Strasbourg,Nice,2,0,D
2022-2023,35,PSG,Ajaccio,5,0,D
2022-2023,35,Clermont,Lyon,2,1,D
2022-2023,35,Montpellier,Lorient,1,1,N
2022-2023,35,Rennais,Troyes,4,0,D
2022-2023,35,Toulouse,Nantes,0,0,N
2022-2023,35,Brest,Auxerre,1,0,D
2022-2023,35,Monaco,Lille,0,0,N
2022-2023,35,Marseille,Angers,3,1,D
2022-2023,36,Lyon,Monaco,3,1,D
2022-2023,36,Nantes,Montpellier,0,3,E
2022-2023,36,Lille,Marseille,2,1,D
2022-2023,36,Ajaccio,Rennais,0,5,E
2022-2023,36,Nice,Toulouse,0,0,N
2022-2023,36,Brest,Clermont,2,1,D
2022-2023,36,Reims,Angers,2,2,N
2022-2023,36,Troyes,Strasbourg,1,1,N
2022-2023,36,Lorient,Lens,1,3,E
2022-2023,36,Auxerre,PSG,1,2,E
2022-2023,37,Montpellier,Nice,2,3,E
2022-2023,37,Strasbourg,PSG,1,1,N
2022-2023,37,Lille,Nantes,2,1,D
2022-2023,37,Lyon,Reims,3,0,D
2022-2023,37,Rennais,Monaco,2,0,D
2022-2023,37,Toulouse,Auxerre,1,1,N
2022-2023,37,Marseille,Brest,1,2,E
2022-2023,37,Angers,Troyes,2,1,D
2022-2023,37,Lens,Ajaccio,3,0,D
2022-2023,37,Clermont,Lorient,2,0,D
2022-2023,38,PSG,Clermont,2,3,E
2022-2023,38,Nice,Lyon,3,1,D
2022-2023,38,Brest,Rennais,1,2,E
2022-2023,38,Ajaccio,Marseille,1,0,D
2022-2023,38,Lorient,Strasbourg,2,1,D
2022-2023,38,Reims,Montpellier,1,3,E
2022-2023,38,Troyes,Lille,1,1,N
2022-2023,38,Nantes,Angers,1,0,D
2022-2023,38,Monaco,Toulouse,1,2,E
2022-2023,38,Auxerre,Lens,1,3,E
2021-2022,1,Monaco,Nantes,1,1,N
2021-2022,1,Lyon,Brest,1,1,N
2021-2022,1,Troyes,PSG,1,2,E
2021-2022,1,Rennais,Lens,1,1,N
2021-2022,1,Strasbourg,Angers,0,2,E
2021-2022,1,Bordeaux,Clermont,0,2,E
2021-2022,1,Saint-Étienne,Lorient,1,1,N
2021-2022,1,Nice,Reims,0,0,N
2021-2022,1,Metz,Lille,3,3,N
2021-2022,1,Montpellier,Marseille,2,3,E
2021-2022,2,Lorient,Monaco,1,0,D
2021-2022,2,Lille,Nice,0,4,E
2021-2022,2,PSG,Strasbourg,4,2,D
2021-2022,2,Angers,Lyon,3,0,D
2021-2022,2,Nantes,Metz,2,0,D
2021-2022,2,Clermont,Troyes,2,0,D
2021-2022,2,Brest,Rennais,1,1,N
2021-2022,2,Reims,Montpellier,3,3,N
2021-2022,2,Lens,Saint-Étienne,2,2,N
2021-2022,2,Marseille,Bordeaux,2,2,N
2021-2022,3,Brest,PSG,2,4,E
2021-2022,3,Monaco,Lens,0,2,E
2021-2022,3,Saint-Étienne,Lille,1,1,N
2021-2022,3,Lyon,Clermont,3,3,N
2021-2022,3,Montpellier,Lorient,3,1,D
2021-2022,3,Bordeaux,Angers,1,1,N
2021-2022,3,Metz,Reims,1,1,N
2021-2022,3,Strasbourg,Troyes,1,1,N
2021-2022,3,Rennais,Nantes,1,0,D
2021-2022,3,Nice,Marseille,1,1,N
2021-2022,4,Nantes,Lyon,0,1,E
2021-2022,4,Nice,Bordeaux,4,0,D
2021-2022,4,Marseille,Saint-Étienne,3,1,D
2021-2022,4,Troyes,Monaco,1,2,E
2021-2022,4,Strasbourg,Brest,3,1,D
2021-2022,4,Angers,Rennais,2,0,D
2021-2022,4,Lens,Lorient,2,2,N
2021-2022,4,Clermont,Metz,2,2,N
2021-2022,4,Lille,Montpellier,2,1,D
2021-2022,4,Reims,PSG,0,2,E
2021-2022,5,Lorient,Lille,2,1,D
2021-2022,5,PSG,Clermont,4,0,D
2021-2022,5,Monaco,Marseille,0,2,E
2021-2022,5,Montpellier,Saint-Étienne,2,0,D
2021-2022,5,Metz,Troyes,0,2,E
2021-2022,5,Bordeaux,Lens,2,3,E
2021-2022,5,Rennais,Reims,0,2,E
2021-2022,5,Brest,Angers,1,1,N
2021-2022,5,Nantes,Nice,0,2,E
2021-2022,5,Lyon,Strasbourg,3,1,D
2021-2022,6,Strasbourg,Metz,3,0,D
2021-2022,6,Lens,Lille,1,0,D
2021-2022,6,Saint-Étienne,Bordeaux,1,2,E
2021-2022,6,Nice,Monaco,2,2,N
2021-2022,6,Reims,Lorient,0,0,N
2021-2022,6,Troyes,Montpellier,1,1,N
2021-2022,6,Angers,Nantes,1,4,E
2021-2022,6,Clermont,Brest,1,1,N
2021-2022,6,Marseille,Rennais,2,0,D
2021-2022,6,PSG,Lyon,2,1,D
2021-2022,7,Rennais,Clermont,6,0,D
2021-2022,7,Montpellier,Bordeaux,3,3,N
2021-2022,7,Nantes,Brest,3,1,D
2021-2022,7,Lille,Reims,2,1,D
2021-2022,7,Monaco,Saint-Étienne,3,1,D
2021-2022,7,Lyon,Troyes,3,1,D
2021-2022,7,Lens,Strasbourg,0,1,E
2021-2022,7,Metz,PSG,1,2,E
2021-2022,7,Lorient,Nice,1,0,D
2021-2022,7,Angers,Marseille,0,0,N
2021-2022,8,Saint-Étienne,Nice,0,3,E
2021-2022,8,Strasbourg,Lille,1,2,E
2021-2022,8,PSG,Montpellier,2,0,D
2021-2022,8,Lyon,Lorient,1,1,N
2021-2022,8,Bordeaux,Rennais,1,1,N
2021-2022,8,Brest,Metz,1,2,E
2021-2022,8,Reims,Nantes,3,1,D
2021-2022,8,Troyes,Angers,1,1,N
2021-2022,8,Clermont,Monaco,1,3,E
2021-2022,8,Marseille,Lens,2,3,E
2021-2022,9,Lens,Reims,2,0,D
2021-2022,9,Montpellier,Strasbourg,1,1,N
2021-2022,9,Nice,Brest,2,1,D
2021-2022,9,Rennais,PSG,2,0,D
2021-2022,9,Monaco,Bordeaux,3,0,D
2021-2022,9,Lorient,Clermont,1,1,N
2021-2022,9,Angers,Metz,3,2,D
2021-2022,9,Nantes,Troyes,2,0,D
2021-2022,9,Lille,Marseille,2,0,D
2021-2022,9,Saint-Étienne,Lyon,1,1,N
2021-2022,10,PSG,Angers,2,1,D
2021-2022,10,Clermont,Lille,1,0,D
2021-2022,10,Lyon,Monaco,2,0,D
2021-2022,10,Troyes,Nice,1,0,D
2021-2022,10,Strasbourg,Saint-Étienne,5,1,D
2021-2022,10,Bordeaux,Nantes,1,1,N
2021-2022,10,Brest,Reims,1,1,N
2021-2022,10,Metz,Rennais,0,3,E
2021-2022,10,Montpellier,Lens,1,0,D
2021-2022,10,Marseille,Lorient,4,1,D
2021-2022,11,Saint-Étienne,Angers,2,2,N
2021-2022,11,Nantes,Clermont,2,1,D
2021-2022,11,Lille,Brest,1,1,N
2021-2022,11,Nice,Lyon,3,2,D
2021-2022,11,Rennais,Strasbourg,1,0,D
2021-2022,11,Lorient,Bordeaux,1,1,N
2021-2022,11,Reims,Troyes,1,2,E
2021-2022,11,Lens,Metz,4,1,D
2021-2022,11,Monaco,Montpellier,3,1,D
2021-2022,11,Marseille,PSG,0,0,N
2021-2022,12,PSG,Lille,2,1,D
2021-2022,12,Metz,Saint-Étienne,1,1,N
2021-2022,12,Lyon,Lens,2,1,D
2021-2022,12,Angers,Nice,1,2,E
2021-2022,12,Bordeaux,Reims,3,2,D
2021-2022,12,Troyes,Rennais,2,2,N
2021-2022,12,Strasbourg,Lorient,4,0,D
2021-2022,12,Montpellier,Nantes,2,0,D
2021-2022,12,Brest,Monaco,2,0,D
2021-2022,12,Clermont,Marseille,0,1,E
2021-2022,13,Lens,Troyes,4,0,D
2021-2022,13,Lille,Angers,1,1,N
2021-2022,13,Bordeaux,PSG,2,3,E
2021-2022,13,Marseille,Metz,0,0,N
2021-2022,13,Nantes,Strasbourg,2,2,N
2021-2022,13,Saint-Étienne,Clermont,3,2,D
2021-2022,13,Lorient,Brest,1,2,E
2021-2022,13,Reims,Monaco,0,0,N
2021-2022,13,Nice,Montpellier,0,1,E
2021-2022,13,Rennais,Lyon,4,1,D
2021-2022,14,Monaco,Lille,2,2,N
2021-2022,14,PSG,Nantes,3,1,D
2021-2022,14,Rennais,Montpellier,2,0,D
2021-2022,14,Brest,Lens,4,0,D
2021-2022,14,Metz,Bordeaux,3,3,N
2021-2022,14,Strasbourg,Reims,1,1,N
2021-2022,14,Troyes,Saint-Étienne,0,1,E
2021-2022,14,Angers,Lorient,1,0,D
2021-2022,14,Clermont,Nice,1,2,E
2021-2022,14,Lyon,Marseille,2,1,D
2021-2022,15,Lens,Angers,2,2,N
2021-2022,15,Lille,Nantes,1,1,N
2021-2022,15,Nice,Metz,0,1,E
2021-2022,15,Saint-Étienne,PSG,1,3,E
2021-2022,15,Bordeaux,Brest,1,2,E
2021-2022,15,Lorient,Rennais,0,2,E
2021-2022,15,Reims,Clermont,1,0,D
2021-2022,15,Monaco,Strasbourg,1,1,N
2021-2022,15,Montpellier,Lyon,0,1,E
2021-2022,15,Marseille,Troyes,1,0,D
2021-2022,16,Brest,Saint-Étienne,1,0,D
2021-2022,16,Troyes,Lorient,2,0,D
2021-2022,16,Angers,Monaco,1,3,E
2021-2022,16,Metz,Montpellier,1,3,E
2021-2022,16,Strasbourg,Bordeaux,5,2,D
2021-2022,16,Nantes,Marseille,0,1,E
2021-2022,16,Clermont,Lens,2,2,N
2021-2022,16,PSG,Nice,0,0,N
2021-2022,16,Lyon,Reims,1,2,E
2021-2022,16,Rennais,Lille,1,2,E
2021-2022,17,Marseille,Brest,1,2,E
2021-2022,17,Lille,Troyes,2,1,D
2021-2022,17,Lens,PSG,1,1,N
2021-2022,17,Saint-Étienne,Rennais,0,5,E
2021-2022,17,Lorient,Nantes,0,1,E
2021-2022,17,Reims,Angers,1,2,E
2021-2022,17,Monaco,Metz,4,0,D
2021-2022,17,Montpellier,Clermont,1,0,D
2021-2022,17,Nice,Strasbourg,0,3,E
2021-2022,17,Bordeaux,Lyon,2,2,N
2021-2022,18,Nantes,Lens,3,2,D
2021-2022,18,Brest,Montpellier,0,4,E
2021-2022,18,Reims,Saint-Étienne,2,0,D
2021-2022,18,Lille,Lyon,0,0,N
2021-2022,18,Rennais,Nice,1,2,E
2021-2022,18,Angers,Clermont,0,1,E
2021-2022,18,Metz,Lorient,4,1,D
2021-2022,18,Troyes,Bordeaux,1,2,E
2021-2022,18,Strasbourg,Marseille,0,2,E
2021-2022,18,PSG,Monaco,2,0,D
2021-2022,19,Montpellier,Angers,4,1,D
2021-2022,19,Lyon,Metz,1,1,N
2021-2022,19,Bordeaux,Lille,2,3,E
2021-2022,19,Saint-Étienne,Nantes,0,1,E
2021-2022,19,Marseille,Reims,1,1,N
2021-2022,19,Nice,Lens,2,1,D
2021-2022,19,Lorient,PSG,1,1,N
2021-2022,19,Troyes,Brest,1,1,N
2021-2022,19,Monaco,Rennais,2,1,D
2021-2022,19,Clermont,Strasbourg,0,2,E
2021-2022,20,Bordeaux,Marseille,0,1,E
2021-2022,20,Lens,Rennais,1,0,D
2021-2022,20,Brest,Nice,0,3,E
2021-2022,20,Clermont,Reims,0,0,N
2021-2022,20,Metz,Strasbourg,0,2,E
2021-2022,20,Nantes,Monaco,0,0,N
2021-2022,20,Lyon,PSG,1,1,N
2021-2022,20,Montpellier,Troyes,0,1,E
2021-2022,20,Lille,Lorient,3,1,D
2021-2022,20,Angers,Saint-Étienne,0,1,E
