Saison,Journée,Equipe 1,Equipe 2,Lieu,Buts Equipe 1,Buts Equipe 2,Résultat,Classement Equipe 1,Classement Equipe 2,Moyenne_BM par 1,Moyenne_BM par 2,Moyenne_BM par 1 selon Lieu,Moyenne_BM par 2 selon Lieu,Moyenne_BE par 1,Moyenne_BE par 2,Moyenne_BE par 1 selon Lieu,Moyenne_BE par 2 selon Lieu,Forme 1,Forme 2,Historique
2002-2003,21,Monaco,Bastia,Domicile,0,0,0,4,14,1.6,1.05,1.8888888888888888,0.4444444444444444,1.0,1.4,0.8888888888888888,2.0,2.0,0.0,-1
2002-2003,22,Monaco,Sochaux,Extérieur,0,0,0,6,3,1.5238095238095237,1.1428571428571428,1.3636363636363635,1.8,0.9523809523809523,0.6666666666666666,1.0909090909090908,0.4,3.0,3.0,1
2002-2003,23,Monaco,Lens,Domicile,1,1,0,6,10,1.4545454545454546,1.0,1.7,0.5454545454545454,0.9090909090909091,0.9090909090909091,0.8,1.0,2.0,0.0,-1
2002-2003,24,Monaco,Nantes,Extérieur,2,0,1,6,9,1.434782608695652,1.2173913043478262,1.25,1.6363636363636365,0.9130434782608695,1.1304347826086956,1.0,1.0,1.0,1.0,1
2002-2003,25,Monaco,Sedan Ardennes,Domicile,3,0,1,5,15,1.4583333333333333,1.125,1.6363636363636365,0.7272727272727273,0.875,1.5833333333333333,0.8181818181818182,2.272727272727273,1.0,-1.0,0
2002-2003,26,Monaco,Lyon,Domicile,2,0,1,2,5,1.52,1.72,1.75,1.0769230769230769,0.84,1.2,0.75,1.3846153846153846,2.0,1.0,1
2002-2003,27,Monaco,Rennais,Extérieur,0,0,0,2,17,1.5384615384615385,0.8461538461538461,1.3076923076923077,1.0833333333333333,0.8076923076923077,1.1153846153846154,0.9230769230769231,0.8333333333333334,3.0,-4.0,1
2002-2003,28,Monaco,Auxerre,Domicile,3,1,1,2,3,1.4814814814814814,1.0740740740740742,1.7692307692307692,1.0714285714285714,0.7777777777777778,0.8148148148148148,0.6923076923076923,1.1428571428571428,3.0,0.0,0
2002-2003,29,Monaco,Lille,Extérieur,3,1,1,2,15,1.5357142857142858,0.7857142857142857,1.2142857142857142,1.0714285714285714,0.7857142857142857,1.25,0.8571428571428571,1.0714285714285714,4.0,-3.0,0
2002-2003,30,Monaco,Bordeaux,Domicile,0,1,-1,1,4,1.5862068965517242,1.4137931034482758,1.8571428571428572,1.0,0.7931034482758621,1.0,0.7142857142857143,1.1333333333333333,4.0,2.0,0
2002-2003,31,Monaco,Le Havre,Extérieur,3,0,1,1,14,1.5333333333333334,0.7666666666666667,1.3333333333333333,0.9285714285714286,0.8,1.1,0.8666666666666667,0.8571428571428571,2.0,-1.0,0
2002-2003,32,Monaco,Nice,Domicile,0,1,-1,1,9,1.5806451612903225,1.064516129032258,1.7333333333333334,0.7333333333333333,0.7741935483870968,0.7741935483870968,0.7333333333333333,1.1333333333333333,2.0,-1.0,-1
2002-2003,33,Monaco,Ajaccio,Extérieur,4,2,1,2,18,1.53125,0.71875,1.4375,0.6,0.78125,1.15625,0.8125,0.7333333333333333,1.0,-2.0,1
2002-2003,34,Monaco,Strasbourg,Domicile,2,0,1,2,13,1.606060606060606,1.0909090909090908,1.625,0.8125,0.8181818181818182,1.3333333333333333,0.75,1.6875,1.0,0.0,-1
2002-2003,35,Monaco,PSG,Extérieur,1,2,-1,1,9,1.6176470588235294,1.3235294117647058,1.588235294117647,1.7058823529411764,0.7941176470588235,0.9411764705882353,0.8823529411764706,0.7647058823529411,1.0,1.0,1
2002-2003,36,Monaco,Montpellier,Domicile,3,1,1,3,14,1.6,0.9714285714285714,1.6470588235294117,0.9411764705882353,0.8285714285714286,1.3428571428571427,0.7058823529411765,1.7058823529411764,1.0,1.0,1
2002-2003,37,Monaco,Guingamp,Extérieur,1,3,-1,2,7,1.6388888888888888,1.4444444444444444,1.5555555555555556,1.6111111111111112,0.8333333333333334,1.2222222222222223,0.9444444444444444,0.8333333333333334,1.0,4.0,1
2002-2003,38,Monaco,Troyes,Domicile,6,0,1,3,20,1.6216216216216217,0.6216216216216216,1.7222222222222223,0.3888888888888889,0.8918918918918919,1.135135135135135,0.7222222222222222,1.3333333333333333,1.0,-2.0,1
2002-2003,1,Montpellier,Rennais,Domicile,1,0,1,,,,,,,,,,,,,0
2002-2003,2,Montpellier,Auxerre,Extérieur,0,2,-1,5,16,1.0,0.0,,,0.0,1.0,,,1.0,-1.0,0
2002-2003,3,Montpellier,Bordeaux,Domicile,0,1,-1,10,3,0.5,1.5,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0
2002-2003,4,Montpellier,Nice,Extérieur,1,2,-1,14,3,0.3333333333333333,2.6666666666666665,0.0,2.5,1.0,0.6666666666666666,2.0,1.0,-1.0,1.0,0
2002-2003,5,Montpellier,Le Havre,Domicile,0,0,0,16,12,0.5,0.75,0.5,1.5,1.25,0.75,0.5,1.0,-2.0,0.0,0
2002-2003,6,Montpellier,Ajaccio,Extérieur,0,0,0,17,15,0.4,0.8,0.5,0.5,1.0,1.2,2.0,1.0,-2.0,-1.0,0
2002-2003,7,Montpellier,Lille,Domicile,1,0,1,17,16,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.8333333333333334,1.5,0.3333333333333333,1.0,-3.0,0.0,0
2002-2003,8,Montpellier,Strasbourg,Extérieur,2,3,-1,13,16,0.42857142857142855,1.0,0.3333333333333333,1.25,0.7142857142857143,1.8571428571428572,1.3333333333333333,1.25,-1.0,0.0,0
2002-2003,9,Montpellier,PSG,Domicile,1,1,0,16,6,0.625,1.25,0.5,0.6666666666666666,1.0,0.75,0.25,0.6666666666666666,-1.0,1.0,0
2002-2003,10,Montpellier,Lens,Domicile,0,2,-1,15,8,0.6666666666666666,0.7777777777777778,0.6,0.8,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0
2002-2003,11,Montpellier,Guingamp,Extérieur,1,3,-1,18,12,0.6,1.4,0.75,1.6,1.1,1.6,1.75,1.2,-1.0,-2.0,0
2002-2003,12,Montpellier,Troyes,Domicile,2,2,0,18,20,0.6363636363636364,0.5454545454545454,0.5,0.2,1.2727272727272727,1.2727272727272727,0.6666666666666666,0.8,-2.0,-3.0,0
2002-2003,13,Montpellier,Marseille,Extérieur,0,2,-1,18,5,0.75,1.1666666666666667,0.8,1.1666666666666667,1.3333333333333333,1.25,2.0,0.8333333333333334,-3.0,1.0,0
2002-2003,14,Montpellier,Sedan Ardennes,Domicile,2,0,1,18,14,0.6923076923076923,1.3076923076923077,0.7142857142857143,1.0,1.3846153846153846,1.5384615384615385,0.8571428571428571,2.1666666666666665,-3.0,2.0,0
2002-2003,15,Montpellier,Sochaux,Extérieur,0,0,0,17,6,0.7857142857142857,1.2142857142857142,0.6666666666666666,2.0,1.2857142857142858,0.7857142857142857,2.0,0.6666666666666666,-2.0,0.0,0
2002-2003,16,Montpellier,Bastia,Domicile,2,2,0,17,15,0.7333333333333333,0.9333333333333333,0.875,0.2857142857142857,1.2,1.4666666666666666,0.75,2.0,-1.0,-1.0,0
2002-2003,17,Montpellier,Nantes,Extérieur,1,3,-1,18,13,0.8125,1.0625,0.5714285714285714,1.2857142857142858,1.25,1.0625,1.7142857142857142,1.0,0.0,3.0,0
2002-2003,18,Montpellier,Monaco,Domicile,1,2,-1,19,7,0.8235294117647058,1.4705882352941178,1.0,1.3333333333333333,1.3529411764705883,1.0588235294117647,0.8888888888888888,1.1111111111111112,-1.0,0.0,0
2002-2003,19,Montpellier,Lyon,Extérieur,1,1,0,20,2,0.8333333333333334,1.8888888888888888,0.625,2.875,1.3888888888888888,1.2777777777777777,1.875,1.25,-1.0,1.0,0
2002-2003,20,Montpellier,Auxerre,Domicile,0,0,0,20,5,0.8421052631578947,1.1578947368421053,1.0,1.1,1.368421052631579,0.9473684210526315,1.0,1.3,-2.0,1.0,-1
2002-2003,21,Montpellier,Bordeaux,Extérieur,1,3,-1,19,12,0.8,1.15,0.6666666666666666,1.5555555555555556,1.3,0.95,1.7777777777777777,0.6666666666666666,-2.0,0.0,-1
2002-2003,22,Montpellier,Nice,Domicile,2,2,0,19,1,0.8095238095238095,1.2380952380952381,0.9090909090909091,0.8,1.380952380952381,0.6666666666666666,0.9090909090909091,1.1,-3.0,0.0,-1
2002-2003,23,Montpellier,Le Havre,Extérieur,0,1,-1,20,18,0.8636363636363636,0.6818181818181818,0.7,0.7,1.4090909090909092,1.1818181818181819,1.9,1.1,-2.0,-2.0,0
2002-2003,24,Montpellier,Ajaccio,Domicile,0,1,-1,20,17,0.8260869565217391,0.782608695652174,1.0,0.9166666666666666,1.391304347826087,1.2173913043478262,1.0,1.6666666666666667,-2.0,0.0,0
2002-2003,25,Montpellier,Lille,Extérieur,0,2,-1,20,14,0.7916666666666666,0.8333333333333334,0.6363636363636364,1.0833333333333333,1.375,1.25,1.8181818181818181,1.0833333333333333,-3.0,-3.0,1
2002-2003,26,Montpellier,Strasbourg,Domicile,2,1,1,20,13,0.76,1.08,0.9230769230769231,0.8333333333333334,1.4,1.4,1.0,1.8333333333333333,-4.0,-1.0,-1
2002-2003,27,Montpellier,PSG,Extérieur,3,1,1,20,8,0.8076923076923077,1.2307692307692308,0.5833333333333334,1.6923076923076923,1.3846153846153846,0.8461538461538461,1.8333333333333333,0.5384615384615384,-2.0,2.0,0
2002-2003,28,Montpellier,Lens,Extérieur,0,4,-1,19,11,0.8888888888888888,1.1481481481481481,0.7692307692307693,1.6153846153846154,1.3703703703703705,1.0,1.7692307692307692,1.0769230769230769,-1.0,1.0,-1
2002-2003,29,Montpellier,Guingamp,Domicile,2,0,1,20,11,0.8571428571428571,1.4285714285714286,1.0,1.3076923076923077,1.4642857142857142,1.4285714285714286,1.0,1.9230769230769231,-1.0,-1.0,-1
2002-2003,30,Montpellier,Troyes,Extérieur,2,0,1,18,20,0.896551724137931,0.6896551724137931,0.7142857142857143,0.9333333333333333,1.4137931034482758,1.0344827586206897,1.9285714285714286,0.9333333333333333,1.0,0.0,0
2002-2003,31,Montpellier,Marseille,Domicile,1,2,-1,17,2,0.9333333333333333,1.0666666666666667,1.0666666666666667,0.8571428571428571,1.3666666666666667,0.8666666666666667,0.9333333333333333,1.2142857142857142,3.0,2.0,-1
2002-2003,32,Montpellier,Sedan Ardennes,Extérieur,2,1,1,18,19,0.9354838709677419,1.0,0.8,1.375,1.3870967741935485,1.5806451612903225,1.8,1.0,1.0,-3.0,1
2002-2003,33,Montpellier,Sochaux,Domicile,0,2,-1,15,7,0.96875,1.09375,1.0625,0.75,1.375,0.875,1.0,1.3125,1.0,1.0,0
2002-2003,34,Montpellier,Bastia,Extérieur,2,1,1,17,12,0.9393939393939394,1.0303030303030303,0.875,1.4705882352941178,1.393939393939394,1.1515151515151516,1.75,0.7647058823529411,1.0,-2.0,0
2002-2003,35,Montpellier,Nantes,Domicile,1,0,1,15,8,0.9705882352941176,1.0588235294117647,1.0,0.7058823529411765,1.3823529411764706,0.9411764705882353,1.0588235294117647,1.0588235294117647,1.0,1.0,-1
2002-2003,36,Montpellier,Monaco,Extérieur,1,3,-1,14,3,0.9714285714285714,1.6,0.9411764705882353,1.6470588235294117,1.3428571428571427,0.8285714285714286,1.7058823529411764,0.7058823529411765,1.0,1.0,-1
2002-2003,37,Montpellier,Lyon,Domicile,1,1,0,14,1,0.9722222222222222,1.6944444444444444,1.0,1.2222222222222223,1.3888888888888888,1.0,1.0,1.1666666666666667,1.0,4.0,0
2002-2003,38,Montpellier,Rennais,Extérieur,1,3,-1,15,17,0.972972972972973,0.8648648648648649,0.9444444444444444,1.1666666666666667,1.3783783783783783,1.1891891891891893,1.7777777777777777,1.0555555555555556,0.0,-1.0,1
2002-2003,1,Nantes,Marseille,Extérieur,2,0,1,,,,,,,,,,,,,0
2002-2003,2,Nantes,Bastia,Domicile,1,0,1,3,9,2.0,1.0,,,0.0,1.0,,,1.0,0.0,0
2002-2003,3,Nantes,Sochaux,Extérieur,2,4,-1,1,13,1.5,0.5,2.0,,0.0,0.5,0.0,,2.0,0.0,0
2002-2003,4,Nantes,Lens,Domicile,2,2,0,5,8,1.6666666666666667,1.0,1.0,1.0,1.3333333333333333,0.6666666666666666,0.0,0.5,1.0,1.0,0
2002-2003,5,Nantes,Sedan Ardennes,Extérieur,0,1,-1,7,20,1.75,0.25,2.0,0.0,1.5,2.0,2.0,0.5,1.0,-3.0,0
2002-2003,6,Nantes,Monaco,Extérieur,1,2,-1,10,12,1.4,1.0,1.3333333333333333,0.5,1.4,0.6,1.6666666666666667,0.5,0.0,-1.0,0
2002-2003,7,Nantes,Lyon,Domicile,1,0,1,11,3,1.3333333333333333,2.6666666666666665,1.5,1.6666666666666667,1.5,1.3333333333333333,1.0,2.0,-2.0,2.0,0
2002-2003,8,Nantes,Rennais,Extérieur,0,1,-1,11,20,1.2857142857142858,0.5714285714285714,1.25,1.0,1.2857142857142858,1.8571428571428572,1.75,1.6666666666666667,-2.0,-4.0,0
2002-2003,9,Nantes,Auxerre,Domicile,1,4,-1,11,2,1.125,1.375,1.3333333333333333,0.75,1.25,0.625,0.6666666666666666,0.75,-2.0,3.0,0
2002-2003,10,Nantes,Ajaccio,Extérieur,0,1,-1,13,17,1.1111111111111112,0.7777777777777778,1.0,0.25,1.5555555555555556,1.2222222222222223,1.6,0.75,-3.0,-2.0,0
2002-2003,11,Nantes,Nice,Domicile,0,0,0,16,2,1.0,1.6,1.25,1.0,1.5,0.5,1.5,0.5,-3.0,2.0,0
2002-2003,12,Nantes,Le Havre,Extérieur,1,1,0,15,17,0.9090909090909091,0.7272727272727273,0.8333333333333334,0.6,1.3636363636363635,1.4545454545454546,1.5,1.2,-2.0,-2.0,0
2002-2003,13,Nantes,Bordeaux,Domicile,0,0,0,16,11,0.9166666666666666,1.0833333333333333,1.0,1.0,1.3333333333333333,1.0,1.2,1.0,-3.0,-1.0,0
2002-2003,14,Nantes,Lille,Extérieur,1,0,1,16,12,0.8461538461538461,0.8461538461538461,0.8571428571428571,1.1428571428571428,1.2307692307692308,1.0,1.4285714285714286,1.1428571428571428,-2.0,1.0,0
2002-2003,15,Nantes,Strasbourg,Domicile,4,1,1,15,7,0.8571428571428571,1.3571428571428572,0.8333333333333334,0.8333333333333334,1.1428571428571428,1.5,1.0,2.1666666666666665,0.0,1.0,0
2002-2003,16,Nantes,PSG,Extérieur,1,0,1,13,4,1.0666666666666667,1.6666666666666667,0.875,2.125,1.1333333333333333,1.0,1.25,0.625,2.0,0.0,0
2002-2003,17,Nantes,Montpellier,Domicile,3,1,1,13,18,1.0625,0.8125,1.2857142857142858,0.5714285714285714,1.0625,1.25,1.0,1.7142857142857142,3.0,0.0,0
2002-2003,18,Nantes,Guingamp,Extérieur,0,2,-1,8,4,1.1764705882352942,1.5294117647058822,0.8888888888888888,1.4444444444444444,1.0588235294117647,1.1176470588235294,1.1111111111111112,0.8888888888888888,4.0,4.0,0
2002-2003,19,Nantes,Troyes,Domicile,2,1,1,10,19,1.1111111111111112,0.7222222222222222,1.5,0.375,1.1111111111111112,1.0555555555555556,1.0,0.875,3.0,1.0,0
2002-2003,20,Nantes,Bastia,Extérieur,1,3,-1,9,15,1.1578947368421053,0.9473684210526315,0.8,1.4,1.105263157894737,1.4210526315789473,1.2,0.9,3.0,-2.0,1
2002-2003,21,Nantes,Sochaux,Domicile,0,1,-1,9,6,1.15,1.15,1.5555555555555556,0.5,1.2,0.7,1.0,1.0,1.0,1.0,-1
2002-2003,22,Nantes,Lens,Extérieur,1,0,1,11,8,1.0952380952380953,1.0476190476190477,0.8181818181818182,1.6,1.1904761904761905,0.9047619047619048,1.3636363636363635,0.8,-1.0,0.0,0
2002-2003,23,Nantes,Sedan Ardennes,Domicile,4,1,1,11,16,1.0909090909090908,1.0909090909090908,1.4,0.7,1.1363636363636365,1.5,1.0,2.1,-1.0,-1.0,-1
2002-2003,24,Nantes,Monaco,Domicile,0,2,-1,9,6,1.2173913043478262,1.434782608695652,1.6363636363636365,1.25,1.1304347826086956,0.9130434782608695,1.0,1.0,1.0,1.0,-1
2002-2003,25,Nantes,Lyon,Extérieur,0,0,0,10,2,1.1666666666666667,1.7916666666666667,0.8333333333333334,2.6363636363636362,1.1666666666666667,1.25,1.25,1.0909090909090908,-1.0,1.0,1
2002-2003,26,Nantes,Rennais,Domicile,1,0,1,9,16,1.12,0.88,1.5,0.6923076923076923,1.12,1.12,1.0833333333333333,1.3846153846153846,0.0,-2.0,-1
2002-2003,27,Nantes,Auxerre,Extérieur,1,0,1,9,1,1.1153846153846154,1.1153846153846154,0.7692307692307693,1.1666666666666667,1.0769230769230769,0.8076923076923077,1.1538461538461537,0.4166666666666667,2.0,2.0,-1
2002-2003,28,Nantes,Ajaccio,Domicile,1,0,1,8,17,1.1111111111111112,0.7777777777777778,1.4615384615384615,0.9285714285714286,1.037037037037037,1.1851851851851851,1.0,1.5,2.0,1.0,-1
2002-2003,29,Nantes,Nice,Extérieur,1,1,0,8,7,1.1071428571428572,1.1428571428571428,0.7857142857142857,1.5,1.0,0.7857142857142857,1.0714285714285714,0.35714285714285715,2.0,-1.0,0
2002-2003,30,Nantes,Le Havre,Domicile,2,0,1,8,14,1.103448275862069,0.7931034482758621,1.4285714285714286,0.6666666666666666,1.0,1.0689655172413792,0.9285714285714286,1.2666666666666666,3.0,1.0,0
2002-2003,31,Nantes,Bordeaux,Extérieur,0,0,0,5,4,1.1333333333333333,1.4,0.8,1.8571428571428572,0.9666666666666667,0.9666666666666667,1.0666666666666667,0.8571428571428571,4.0,2.0,0
2002-2003,32,Nantes,Lille,Domicile,1,0,1,6,15,1.096774193548387,0.8387096774193549,1.4666666666666666,0.6,0.9354838709677419,1.3225806451612903,0.8666666666666667,1.4666666666666666,3.0,-3.0,1
2002-2003,33,Nantes,Strasbourg,Extérieur,0,2,-1,5,13,1.09375,1.0625,0.75,1.3125,0.90625,1.375,1.0,1.0625,3.0,-2.0,1
2002-2003,34,Nantes,PSG,Domicile,1,1,0,7,9,1.0606060606060606,1.3333333333333333,1.4375,0.9375,0.9393939393939394,0.9393939393939394,0.8125,1.125,1.0,2.0,1
2002-2003,35,Nantes,Montpellier,Extérieur,0,1,-1,8,15,1.0588235294117647,0.9705882352941176,0.7058823529411765,1.0,0.9411764705882353,1.3823529411764706,1.0588235294117647,1.0588235294117647,1.0,1.0,1
2002-2003,36,Nantes,Guingamp,Domicile,0,4,-1,10,9,1.0285714285714285,1.3714285714285714,1.411764705882353,1.1176470588235294,0.9428571428571428,1.2571428571428571,0.8235294117647058,1.7058823529411764,-1.0,4.0,-1
2002-2003,37,Nantes,Troyes,Extérieur,0,2,-1,10,20,1.0,0.5833333333333334,0.6666666666666666,0.7777777777777778,1.0277777777777777,1.1666666666666667,1.0555555555555556,1.0,-2.0,-3.0,1
2002-2003,38,Nantes,Marseille,Domicile,1,0,1,11,2,0.972972972972973,1.1081081081081081,1.3333333333333333,0.8333333333333334,1.054054054054054,0.9459459459459459,1.0,1.1666666666666667,-4.0,2.0,1
2002-2003,1,Nice,Le Havre,Domicile,1,2,-1,,,,,,,,,,,,,0
2002-2003,2,Nice,Strasbourg,Domicile,4,0,1,15,9,1.0,1.0,1.0,,2.0,1.0,2.0,,-1.0,0.0,0
2002-2003,3,Nice,Lille,Extérieur,3,0,1,7,17,2.5,0.0,,0.0,1.0,1.5,,3.0,0.0,-1.0,0
2002-2003,4,Nice,Montpellier,Domicile,2,1,1,3,14,2.6666666666666665,0.3333333333333333,2.5,0.0,0.6666666666666666,1.0,1.0,2.0,1.0,-1.0,0
2002-2003,5,Nice,PSG,Extérieur,1,1,0,1,4,2.5,1.0,3.0,1.5,0.75,0.5,0.0,1.0,2.0,2.0,0
2002-2003,6,Nice,Marseille,Domicile,2,0,1,1,9,2.2,1.0,2.3333333333333335,2.0,0.8,0.8,1.0,0.5,2.0,1.0,0
2002-2003,7,Nice,Guingamp,Extérieur,0,0,0,1,4,2.1666666666666665,1.8333333333333333,2.0,2.0,0.6666666666666666,1.0,0.5,1.0,4.0,2.0,0
2002-2003,8,Nice,Troyes,Domicile,1,0,1,1,17,1.8571428571428572,0.42857142857142855,2.25,0.0,0.5714285714285714,1.1428571428571428,0.75,0.3333333333333333,3.0,-1.0,0
2002-2003,9,Nice,Sochaux,Extérieur,0,1,-1,1,7,1.75,1.375,1.3333333333333333,2.3333333333333335,0.5,1.0,0.3333333333333333,1.3333333333333333,3.0,1.0,0
2002-2003,10,Nice,Bastia,Domicile,2,0,1,2,12,1.5555555555555556,1.1111111111111112,2.0,0.5,0.5555555555555556,1.3333333333333333,0.6,1.75,1.0,0.0,0
2002-2003,11,Nice,Nantes,Extérieur,0,0,0,2,16,1.6,1.0,1.0,1.25,0.5,1.5,0.5,1.5,2.0,-3.0,0
2002-2003,12,Nice,Lens,Domicile,0,0,0,1,8,1.4545454545454546,0.9090909090909091,2.0,1.0,0.45454545454545453,0.6363636363636364,0.5,0.8333333333333334,1.0,1.0,0
2002-2003,13,Nice,Lyon,Extérieur,2,2,0,3,4,1.3333333333333333,1.9166666666666667,0.8,3.0,0.4166666666666667,1.0833333333333333,0.4,1.0,1.0,2.0,0
2002-2003,14,Nice,Monaco,Domicile,1,0,1,3,8,1.3846153846153846,1.4615384615384615,1.7142857142857142,1.7142857142857142,0.5384615384615384,1.0,0.42857142857142855,1.1428571428571428,0.0,1.0,0
2002-2003,15,Nice,Auxerre,Extérieur,2,0,1,1,4,1.3571428571428572,1.2857142857142858,1.0,1.6666666666666667,0.5,1.0,0.6666666666666666,0.5,2.0,-2.0,0
2002-2003,16,Nice,Rennais,Domicile,0,0,0,1,20,1.4,0.6,1.625,0.625,0.4666666666666667,1.3333333333333333,0.375,1.75,2.0,-1.0,0
2002-2003,17,Nice,Sedan Ardennes,Extérieur,0,3,-1,1,16,1.3125,1.0625,1.1428571428571428,1.375,0.4375,1.5625,0.5714285714285714,1.0,2.0,-1.0,0
2002-2003,18,Nice,Ajaccio,Domicile,3,0,1,2,16,1.2352941176470589,0.7647058823529411,1.4444444444444444,1.0,0.5882352941176471,1.1176470588235294,0.3333333333333333,1.4444444444444444,1.0,-2.0,0
2002-2003,19,Nice,Bordeaux,Extérieur,0,4,-1,1,13,1.3333333333333333,1.0,1.0,1.25,0.5555555555555556,1.0,0.875,0.75,2.0,-1.0,0
2002-2003,20,Nice,Strasbourg,Extérieur,0,0,0,2,12,1.263157894736842,1.2105263157894737,0.8888888888888888,1.6,0.7368421052631579,1.5789473684210527,1.2222222222222223,1.1,0.0,-2.0,1
2002-2003,21,Nice,Lille,Domicile,2,0,1,2,11,1.2,1.0,1.6,0.7777777777777778,0.7,1.2,0.3,1.3333333333333333,-1.0,1.0,1
2002-2003,22,Nice,Montpellier,Extérieur,2,2,0,1,19,1.2380952380952381,0.8095238095238095,0.8,0.9090909090909091,0.6666666666666666,1.380952380952381,1.1,0.9090909090909091,0.0,-3.0,1
2002-2003,23,Nice,PSG,Domicile,0,0,0,2,8,1.2727272727272727,1.3636363636363635,1.6363636363636365,0.9,0.7272727272727273,0.9545454545454546,0.2727272727272727,1.4,1.0,1.0,0
2002-2003,24,Nice,Marseille,Extérieur,0,2,-1,3,4,1.2173913043478262,1.0,0.9090909090909091,1.1666666666666667,0.6956521739130435,0.8695652173913043,1.1818181818181819,0.5,0.0,1.0,1
2002-2003,25,Nice,Guingamp,Domicile,1,0,1,6,9,1.1666666666666667,1.4583333333333333,1.5,1.4545454545454546,0.75,1.4166666666666667,0.25,1.9090909090909092,0.0,-3.0,0
2002-2003,26,Nice,Troyes,Extérieur,0,1,-1,3,19,1.16,0.64,0.8333333333333334,0.9230769230769231,0.72,1.04,1.25,1.0769230769230769,1.0,-3.0,1
2002-2003,27,Nice,Sochaux,Domicile,2,2,0,4,7,1.1153846153846154,1.0384615384615385,1.4615384615384615,0.5384615384615384,0.7307692307692307,0.8076923076923077,0.23076923076923078,1.2307692307692308,-1.0,-1.0,-1
2002-2003,28,Nice,Bastia,Extérieur,1,1,0,4,9,1.1481481481481481,1.1111111111111112,0.7692307692307693,1.5714285714285714,0.7777777777777778,1.0740740740740742,1.2307692307692308,0.7142857142857143,-1.0,4.0,1
2002-2003,29,Nice,Nantes,Domicile,1,1,0,7,8,1.1428571428571428,1.1071428571428572,1.5,0.7857142857142857,0.7857142857142857,1.0,0.35714285714285715,1.0714285714285714,-1.0,2.0,0
2002-2003,30,Nice,Lens,Extérieur,0,0,0,6,10,1.1379310344827587,1.206896551724138,0.7857142857142857,1.7857142857142858,0.7931034482758621,0.9310344827586207,1.2142857142857142,1.0,0.0,2.0,0
2002-2003,31,Nice,Lyon,Domicile,0,1,-1,7,3,1.1,1.7333333333333334,1.4666666666666666,1.0666666666666667,0.7666666666666667,1.1666666666666667,0.4,1.4,-1.0,2.0,0
2002-2003,32,Nice,Monaco,Extérieur,1,0,1,9,1,1.064516129032258,1.5806451612903225,0.7333333333333333,1.7333333333333334,0.7741935483870968,0.7741935483870968,1.1333333333333333,0.7333333333333333,-1.0,2.0,1
2002-2003,33,Nice,Auxerre,Domicile,1,0,1,9,6,1.0625,1.0,1.375,1.0,0.75,0.84375,0.4375,1.1875,0.0,-1.0,1
2002-2003,34,Nice,Rennais,Extérieur,2,2,0,6,14,1.0606060606060606,0.8484848484848485,0.75,1.0625,0.7272727272727273,1.1515151515151516,1.0625,0.875,1.0,0.0,0
2002-2003,35,Nice,Sedan Ardennes,Domicile,0,0,0,7,18,1.088235294117647,1.0588235294117647,1.3529411764705883,0.5625,0.7647058823529411,1.5,0.4117647058823529,2.0625,1.0,0.0,-1
2002-2003,36,Nice,Ajaccio,Extérieur,0,2,-1,7,19,1.0571428571428572,0.7714285714285715,0.8235294117647058,0.7058823529411765,0.7428571428571429,1.3428571428571427,1.1176470588235294,1.2352941176470589,1.0,-1.0,1
2002-2003,37,Nice,Bordeaux,Domicile,1,1,0,8,4,1.0277777777777777,1.5,1.2777777777777777,1.4444444444444444,0.7777777777777778,0.9722222222222222,0.3888888888888889,1.1666666666666667,1.0,1.0,-1
2002-2003,38,Nice,Le Havre,Extérieur,1,2,-1,8,19,1.027027027027027,0.6756756756756757,0.7777777777777778,0.7777777777777778,0.7837837837837838,1.2432432432432432,1.1666666666666667,1.1111111111111112,0.0,-5.0,-1
2002-2003,1,PSG,Auxerre,Domicile,1,0,1,,,,,,,,,,,,,0
2002-2003,2,PSG,Bordeaux,Extérieur,0,0,0,5,2,1.0,3.0,,,0.0,0.0,,,1.0,1.0,0
2002-2003,3,PSG,Ajaccio,Domicile,2,2,0,6,16,0.5,0.5,1.0,1.0,0.0,1.5,0.0,1.0,1.0,-1.0,0
2002-2003,4,PSG,Le Havre,Extérieur,1,0,1,8,8,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,0
2002-2003,5,PSG,Nice,Domicile,1,1,0,4,1,1.0,2.5,1.5,3.0,0.5,0.75,1.0,0.0,2.0,2.0,0
2002-2003,6,PSG,Lille,Extérieur,1,2,-1,4,19,1.0,0.4,0.5,0.0,0.6,1.6,0.0,2.0,2.0,-2.0,0
2002-2003,7,PSG,Strasbourg,Domicile,3,0,1,8,13,1.0,1.1666666666666667,1.3333333333333333,1.0,0.8333333333333334,1.6666666666666667,1.0,2.5,0.0,0.0,0
2002-2003,8,PSG,Bastia,Domicile,1,1,0,4,15,1.2857142857142858,1.0,1.75,0.3333333333333333,0.7142857142857143,1.4285714285714286,0.75,2.0,1.0,-1.0,0
2002-2003,9,PSG,Montpellier,Extérieur,1,1,0,6,16,1.25,0.625,0.6666666666666666,0.5,0.75,1.0,0.6666666666666666,0.25,1.0,-1.0,0
