Saison,Journée,Equipe 1,Equipe 2,Lieu,Buts Equipe 1,Buts Equipe 2,Résultat,Classement Equipe 1,Classement Equipe 2,Moyenne_BM par 1,Moyenne_BM par 2,Moyenne_BM par 1 selon Lieu,Moyenne_BM par 2 selon Lieu,Moyenne_BE par 1,Moyenne_BE par 2,Moyenne_BE par 1 selon Lieu,Moyenne_BE par 2 selon Lieu,Forme 1,Forme 2,Historique
2002-2003,31,Ajaccio,Rennais,Domicile,1,0,1,19,15,0.7333333333333333,0.8,0.5714285714285714,0.6666666666666666,1.2,1.1,0.7857142857142857,1.5333333333333334,-3.0,-1.0,0
2002-2003,32,Ajaccio,Auxerre,Extérieur,0,1,-1,17,8,0.7419354838709677,1.0,0.875,1.0,1.1612903225806452,0.8709677419354839,1.5625,0.5333333333333333,-2.0,-3.0,1
2002-2003,33,Ajaccio,Monaco,Domicile,2,4,-1,18,2,0.71875,1.53125,0.6,1.4375,1.15625,0.78125,0.7333333333333333,0.8125,-2.0,1.0,-1
2002-2003,34,Ajaccio,Bordeaux,Domicile,1,6,-1,18,4,0.7575757575757576,1.393939393939394,0.6875,1.1764705882352942,1.2424242424242424,1.0,0.9375,1.1764705882352942,-2.0,2.0,-1
2002-2003,35,Ajaccio,Le Havre,Extérieur,1,0,1,19,17,0.7647058823529411,0.7058823529411765,0.8235294117647058,0.8125,1.3823529411764706,1.1764705882352942,1.5294117647058822,1.0,-3.0,-5.0,-1
2002-2003,36,Ajaccio,Nice,Domicile,2,0,1,19,7,0.7714285714285715,1.0571428571428572,0.7058823529411765,0.8235294117647058,1.3428571428571427,0.7428571428571429,1.2352941176470589,1.1176470588235294,-1.0,1.0,-1
2002-2003,37,Ajaccio,Lille,Extérieur,0,2,-1,16,15,0.8055555555555556,0.75,0.8333333333333334,1.0,1.3055555555555556,1.1666666666666667,1.4444444444444444,1.0555555555555556,-1.0,0.0,0
2002-2003,38,Ajaccio,Strasbourg,Domicile,0,0,0,16,13,0.7837837837837838,1.0810810810810811,0.7777777777777778,0.8888888888888888,1.3243243243243243,1.4594594594594594,1.1666666666666667,1.7222222222222223,-1.0,-1.0,0
2002-2003,1,Auxerre,PSG,Extérieur,0,1,-1,,,,,,,,,,,,,0
2002-2003,2,Auxerre,Montpellier,Domicile,2,0,1,16,5,0.0,1.0,,,1.0,0.0,,,-1.0,1.0,0
2002-2003,3,Auxerre,Troyes,Extérieur,2,1,1,9,19,1.0,0.0,0.0,0.0,0.5,2.0,1.0,4.0,0.0,-1.0,0
2002-2003,4,Auxerre,Guingamp,Domicile,2,1,1,4,1,1.3333333333333333,2.6666666666666665,2.0,2.0,0.6666666666666666,1.0,0.0,0.0,1.0,2.0,0
2002-2003,5,Auxerre,Marseille,Extérieur,0,0,0,2,8,1.5,1.25,1.0,0.5,0.75,1.0,1.0,1.5,2.0,1.0,0
2002-2003,6,Auxerre,Bastia,Domicile,1,0,1,2,11,1.2,1.2,2.0,0.5,0.6,1.4,0.5,2.5,2.0,0.0,0
2002-2003,7,Auxerre,Sochaux,Extérieur,1,1,0,2,7,1.1666666666666667,1.5,0.6666666666666666,3.0,0.5,1.1666666666666667,0.6666666666666666,1.5,4.0,1.0,0
2002-2003,8,Auxerre,Sedan Ardennes,Domicile,3,1,1,2,18,1.1428571428571428,0.7142857142857143,1.6666666666666667,0.6666666666666666,0.5714285714285714,1.5714285714285714,0.3333333333333333,2.6666666666666665,3.0,-1.0,0
2002-2003,9,Auxerre,Nantes,Extérieur,4,1,1,2,11,1.375,1.125,0.75,1.3333333333333333,0.625,1.25,0.75,0.6666666666666666,3.0,-2.0,0
2002-2003,10,Auxerre,Monaco,Domicile,1,1,0,1,4,1.6666666666666667,1.5555555555555556,2.0,1.8,0.6666666666666666,0.8888888888888888,0.5,1.0,3.0,2.0,0
2002-2003,11,Auxerre,Lyon,Extérieur,0,3,-1,1,9,1.6,1.9,1.4,3.0,0.7,1.3,0.8,1.25,3.0,0.0,0
2002-2003,12,Auxerre,Rennais,Domicile,1,0,1,2,19,1.4545454545454546,0.8181818181818182,1.8,0.8333333333333334,0.9090909090909091,1.5454545454545454,0.6,1.8333333333333333,1.0,-1.0,0
2002-2003,13,Auxerre,Lens,Extérieur,1,3,-1,1,9,1.4166666666666667,0.8333333333333334,1.1666666666666667,0.8,0.8333333333333334,0.5833333333333334,1.1666666666666667,0.4,2.0,0.0,0
2002-2003,14,Auxerre,Ajaccio,Extérieur,0,1,-1,1,15,1.3846153846153846,0.6923076923076923,1.1428571428571428,0.3333333333333333,1.0,1.0,1.4285714285714286,0.6666666666666666,0.0,-1.0,0
