Saison,Journée,Equipe 1,Equipe 2,Equipe 1 à Domicile,Buts Equipe 1,Buts Equipe 2,Résultat,Classement Equipe 1,Classement Equipe 2,Moyenne_BM par 1,Moyenne_BM par 2,Moyenne_BM par 1 à Domicile,Moyenne_BM par 2 à Domicile,Moyenne_BM par 1 à Extérieur,Moyenne_BM par 2 à Extérieur,Moyenne_BE par 1,Moyenne_BE par 2,Moyenne_BE par 1 à Domicile,Moyenne_BE par 2 à Domicile,Moyenne_BE par 1 à Extérieur,Moyenne_BE par 2 à Extérieur,Forme 1,Forme 2,Historique
2002-2003,26,Ajaccio,Sochaux,0,1,1,0,17,7,0.8,1.04,0.6666666666666666,1.5833333333333333,0.9230769230769231,0.5384615384615384,1.16,0.8,0.75,0.3333333333333333,1.5384615384615385,1.2307692307692308,2.0,0.0,-1
2002-2003,27,Ajaccio,Marseille,1,0,2,-1,16,3,0.8076923076923077,1.0769230769230769,0.6666666666666666,1.2857142857142858,0.9285714285714286,0.8333333333333334,1.1538461538461537,0.8846153846153846,0.75,0.42857142857142855,1.5,1.4166666666666667,2.0,2.0,-1
2002-2003,28,Ajaccio,Nantes,0,0,1,-1,17,8,0.7777777777777778,1.1111111111111112,0.6153846153846154,1.4615384615384615,0.9285714285714286,0.7857142857142857,1.1851851851851851,1.037037037037037,0.8461538461538461,1.0,1.5,1.0714285714285714,1.0,2.0,1
2002-2003,29,Ajaccio,Lens,1,0,0,0,17,10,0.75,1.25,0.6153846153846154,1.7857142857142858,0.8666666666666667,0.7142857142857143,1.1785714285714286,0.9642857142857143,0.8461538461538461,1.0,1.4666666666666666,0.9285714285714286,-1.0,2.0,0
2002-2003,30,Ajaccio,Lyon,0,1,3,-1,17,3,0.7241379310344828,1.6896551724137931,0.5714285714285714,2.357142857142857,0.8666666666666667,1.0666666666666667,1.1379310344827587,1.1724137931034482,0.7857142857142857,0.9285714285714286,1.4666666666666666,1.4,-2.0,1.0,-1
2002-2003,31,Ajaccio,Rennes,1,1,0,1,19,15,0.7333333333333333,0.8,0.5714285714285714,0.9333333333333333,0.875,0.6666666666666666,1.2,1.1,0.7857142857142857,0.6666666666666666,1.5625,1.5333333333333334,-3.0,-1.0,0
2002-2003,32,Ajaccio,Auxerre,0,0,1,-1,17,8,0.7419354838709677,1.0,0.6,1.0,0.875,1.0,1.1612903225806452,0.8709677419354839,0.7333333333333333,0.5333333333333333,1.5625,1.1875,-2.0,-3.0,1
2002-2003,33,Ajaccio,Monaco,1,2,4,-1,18,2,0.71875,1.53125,0.6,1.625,0.8235294117647058,1.4375,1.15625,0.78125,0.7333333333333333,0.75,1.5294117647058822,0.8125,-2.0,1.0,-1
2002-2003,34,Ajaccio,Bordeaux,1,1,6,-1,18,4,0.7575757575757576,1.393939393939394,0.6875,1.625,0.8235294117647058,1.1764705882352942,1.2424242424242424,1.0,0.9375,0.8125,1.5294117647058822,1.1764705882352942,-2.0,2.0,-1
2002-2003,35,Ajaccio,Le Havre,0,1,0,1,19,17,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.8125,0.8235294117647058,0.6111111111111112,1.3823529411764706,1.1764705882352942,1.2352941176470589,1.0,1.5294117647058822,1.3333333333333333,-3.0,-5.0,-1
