Saison,Journée,Equipe 1,Equipe 2,Equipe 1 à Domicile,Buts Equipe 1,Buts Equipe 2,Résultat,Classement Equipe 1,Classement Equipe 2,Moyenne_BM par 1,Moyenne_BM par 2,Moyenne_BM par 1 à Domicile,Moyenne_BM par 2 à Domicile,Moyenne_BM par 1 à Extérieur,Moyenne_BM par 2 à Extérieur,Moyenne_BE par 1,Moyenne_BE par 2,Moyenne_BE par 1 à Domicile,Moyenne_BE par 2 à Domicile,Moyenne_BE par 1 à Extérieur,Moyenne_BE par 2 à Extérieur,Forme 1,Forme 2,Historique
2006-2007,1,Lorient,Paris Saint Germain,0,3,2,1,,,,,,,,,,,,,,,,,0
2006-2007,2,Lorient,Bordeaux,1,0,1,-1,3,2,3.0,2.0,,2.0,3.0,,2.0,0.0,,0.0,2.0,,1.0,1.0,0
2006-2007,3,Lorient,Lens,0,1,1,0,8,10,1.5,0.5,0.0,1.0,3.0,0.0,1.5,2.0,1.0,0.0,2.0,4.0,0.0,0.0,0
2006-2007,4,Lorient,Nantes,1,3,1,1,9,15,1.3333333333333333,1.0,0.0,1.0,2.0,1.0,1.3333333333333333,1.6666666666666667,1.0,2.0,1.5,1.0,0.0,-1.0,0
2006-2007,5,Lorient,Le Mans,0,1,1,0,7,8,1.75,1.5,1.5,2.0,2.0,1.0,1.25,1.5,1.0,1.0,1.5,2.0,1.0,1.0,0
2006-2007,6,Lorient,Lyon,1,1,3,-1,7,2,1.6,2.4,1.5,1.5,1.6666666666666667,3.0,1.2,0.8,1.0,0.5,1.3333333333333333,1.0,1.0,4.0,0
2006-2007,7,Lorient,Toulouse,0,0,0,0,10,4,1.5,1.5,1.3333333333333333,1.5,1.6666666666666667,1.5,1.5,1.1666666666666667,1.6666666666666667,1.0,1.3333333333333333,1.25,-1.0,3.0,0
2006-2007,8,Lorient,Troyes,1,0,0,0,10,17,1.2857142857142858,1.0,1.3333333333333333,1.6666666666666667,1.25,0.5,1.2857142857142858,1.4285714285714286,1.6666666666666667,1.3333333333333333,1.0,1.5,0.0,-2.0,0
2006-2007,9,Lorient,Nice,0,0,3,-1,12,20,1.125,0.75,1.0,1.3333333333333333,1.25,0.4,1.125,1.625,1.25,1.6666666666666667,1.0,1.6,0.0,-3.0,0
2006-2007,10,Lorient,Lille,0,0,1,-1,14,6,1.0,1.5555555555555556,1.0,2.25,1.0,1.0,1.3333333333333333,1.2222222222222223,1.25,0.75,1.4,1.6,-2.0,-1.0,0
2006-2007,11,Lorient,Valenciennes,1,1,0,1,15,10,0.9,1.2,1.0,1.8,0.8333333333333334,0.6,1.3,1.4,1.25,0.4,1.3333333333333333,2.4,-3.0,1.0,0
2006-2007,12,Lorient,Marseille,0,1,0,1,13,2,0.9090909090909091,1.7272727272727273,1.0,2.0,0.8333333333333334,1.5,1.1818181818181819,1.0,1.0,1.0,1.3333333333333333,1.0,-1.0,-2.0,0
2006-2007,13,Lorient,Nancy,1,2,0,1,11,2,0.9166666666666666,1.0,1.0,1.4285714285714286,0.8571428571428571,0.4,1.0833333333333333,0.5833333333333334,1.0,0.42857142857142855,1.1428571428571428,0.8,0.0,2.0,0
2006-2007,14,Lorient,Monaco,0,2,2,0,9,17,1.0,1.0,1.1666666666666667,1.1666666666666667,0.8571428571428571,0.8571428571428571,1.0,1.2307692307692308,0.8333333333333334,1.5,1.1428571428571428,1.0,1.0,-2.0,0
2006-2007,15,Lorient,Sochaux,1,1,3,-1,10,7,1.0714285714285714,1.2142857142857142,1.1666666666666667,1.0,1.0,1.4285714285714286,1.0714285714285714,1.0714285714285714,0.8333333333333334,1.1428571428571428,1.25,1.0,2.0,3.0,0
2006-2007,16,Lorient,Saint-Étienne,0,0,2,-1,11,8,1.0666666666666667,1.5333333333333334,1.1428571428571428,1.875,1.0,1.1428571428571428,1.2,1.2666666666666666,1.1428571428571428,1.0,1.25,1.5714285714285714,2.0,0.0,0
2006-2007,17,Lorient,Sedan,1,2,0,1,12,20,1.0,1.1875,1.1428571428571428,1.0,0.8888888888888888,1.4285714285714286,1.25,1.875,1.1428571428571428,1.2222222222222223,1.3333333333333333,2.7142857142857144,0.0,-3.0,0
2006-2007,18,Lorient,Auxerre,0,1,2,-1,11,13,1.0588235294117647,1.0,1.25,1.0,0.8888888888888888,1.0,1.1764705882352942,1.2941176470588236,1.0,1.1111111111111112,1.3333333333333333,1.5,0.0,0.0,0
2006-2007,19,Lorient,Rennes,1,0,0,0,12,11,1.0555555555555556,0.8888888888888888,1.25,1.3,0.9,0.375,1.2222222222222223,0.8888888888888888,1.0,0.7,1.4,1.125,-2.0,1.0,0
2006-2007,20,Lorient,Bordeaux,0,1,1,0,12,8,1.0,1.105263157894737,1.1111111111111112,1.5,0.9,0.6666666666666666,1.1578947368421053,1.1578947368421053,0.8888888888888888,0.8,1.4,1.5555555555555556,-2.0,0.0,-1
2006-2007,21,Lorient,Lens,1,1,0,1,13,2,1.0,1.45,1.1111111111111112,1.2727272727272727,0.9090909090909091,1.6666666666666667,1.15,1.05,0.8888888888888888,0.6363636363636364,1.3636363636363635,1.5555555555555556,-1.0,2.0,0
2006-2007,22,Lorient,Nantes,0,2,0,1,12,16,1.0,0.8095238095238095,1.1,0.9090909090909091,0.9090909090909091,0.7,1.0952380952380953,1.1428571428571428,0.8,1.0,1.3636363636363635,1.3,1.0,1.0,1
2006-2007,23,Lorient,Le Mans,1,2,1,1,11,9,1.0454545454545454,1.1818181818181819,1.1,1.3333333333333333,1.0,1.0,1.0454545454545454,1.0454545454545454,0.8,0.75,1.25,1.4,1.0,2.0,0
2006-2007,24,Lorient,Lyon,0,0,1,-1,7,1,1.0869565217391304,1.7826086956521738,1.1818181818181819,1.6363636363636365,1.0,1.9166666666666667,1.0434782608695652,0.7391304347826086,0.8181818181818182,0.7272727272727273,1.25,0.75,3.0,-3.0,-1
2006-2007,25,Lorient,Toulouse,1,0,1,-1,10,8,1.0416666666666667,1.0833333333333333,1.1818181818181819,1.25,0.9230769230769231,0.9166666666666666,1.0416666666666667,1.1666666666666667,0.8181818181818182,0.9166666666666666,1.2307692307692308,1.4166666666666667,2.0,2.0,0
2006-2007,26,Lorient,Troyes,0,0,3,-1,11,17,1.0,0.96,1.0833333333333333,1.4166666666666667,0.9230769230769231,0.5384615384615384,1.04,1.36,0.8333333333333334,1.25,1.2307692307692308,1.4615384615384615,1.0,2.0,0
2006-2007,27,Lorient,Nice,1,0,0,0,12,16,0.9615384615384616,0.9230769230769231,1.0833333333333333,1.4615384615384615,0.8571428571428571,0.38461538461538464,1.1153846153846154,1.0,0.8333333333333334,1.0,1.3571428571428572,1.0,-1.0,4.0,-1
2006-2007,28,Lorient,Lille,1,0,0,0,13,3,0.9259259259259259,1.3333333333333333,1.0,1.6153846153846154,0.8571428571428571,1.0714285714285714,1.0740740740740742,0.9259259259259259,0.7692307692307693,0.6923076923076923,1.3571428571428572,1.1428571428571428,-2.0,-2.0,-1
2006-2007,29,Lorient,Valenciennes,0,0,0,0,12,15,0.8928571428571429,1.0357142857142858,0.9285714285714286,1.0769230769230769,0.8571428571428571,1.0,1.0357142857142858,1.4285714285714286,0.7142857142857143,0.8461538461538461,1.3571428571428572,1.9333333333333333,-3.0,0.0,1
2006-2007,30,Lorient,Marseille,1,2,1,1,13,8,0.8620689655172413,1.206896551724138,0.9285714285714286,1.5714285714285714,0.8,0.8666666666666667,1.0,1.0,0.7142857142857143,0.7857142857142857,1.2666666666666666,1.2,-2.0,-1.0,1
2006-2007,31,Lorient,Nancy,0,1,0,1,12,15,0.9,0.8666666666666667,1.0,1.1333333333333333,0.8,0.6,1.0,1.2333333333333334,0.7333333333333333,1.0666666666666667,1.2666666666666666,1.4,0.0,-3.0,1
2006-2007,32,Lorient,Monaco,1,0,0,0,11,13,0.9032258064516129,1.1290322580645162,1.0,1.2666666666666666,0.8125,1.0,0.967741935483871,1.0,0.7333333333333333,1.0,1.1875,1.0,2.0,1.0,0
2006-2007,33,Lorient,Sochaux,0,1,1,0,10,5,0.875,1.15625,0.9375,1.2666666666666666,0.8125,1.0588235294117647,0.9375,1.15625,0.6875,1.0,1.1875,1.2941176470588236,2.0,0.0,-1
2006-2007,34,Lorient,Saint-Étienne,1,0,0,0,10,9,0.8787878787878788,1.4848484848484849,0.9375,1.6470588235294117,0.8235294117647058,1.3125,0.9393939393939394,1.3636363636363635,0.6875,1.2352941176470589,1.1764705882352942,1.5,2.0,-1.0,-1
2006-2007,35,Lorient,Sedan,0,1,3,-1,10,19,0.8529411764705882,1.2058823529411764,0.8823529411764706,1.1176470588235294,0.8235294117647058,1.2941176470588236,0.9117647058823529,1.5588235294117647,0.6470588235294118,1.1764705882352942,1.1764705882352942,1.9411764705882353,2.0,-2.0,1
2006-2007,36,Lorient,Auxerre,1,2,1,1,11,9,0.8571428571428571,1.0,0.8823529411764706,1.0,0.8333333333333334,1.0,0.9714285714285714,1.0571428571428572,0.6470588235294118,0.6666666666666666,1.2777777777777777,1.4705882352941178,0.0,0.0,-1
2006-2007,37,Lorient,Rennes,0,1,4,-1,10,6,0.8888888888888888,0.9166666666666666,0.9444444444444444,1.1111111111111112,0.8333333333333334,0.7222222222222222,0.9722222222222222,0.7777777777777778,0.6666666666666666,0.7777777777777778,1.2777777777777777,0.7777777777777778,0.0,2.0,0
2006-2007,38,Lorient,Paris Saint Germain,1,0,1,-1,12,15,0.8918918918918919,1.1081081081081081,0.9444444444444444,1.263157894736842,0.8421052631578947,0.9444444444444444,1.054054054054054,1.135135135135135,0.6666666666666666,1.2105263157894737,1.4210526315789473,1.0555555555555556,-1.0,2.0,1
2006-2007,1,Lyon,Nantes,0,3,1,1,,,,,,,,,,,,,,,,,4
2006-2007,2,Lyon,Toulouse,1,1,1,0,1,20,3.0,0.0,,,3.0,0.0,1.0,2.0,,,1.0,2.0,1.0,-1.0,4
2006-2007,3,Lyon,Bordeaux,0,2,1,1,4,3,2.0,1.5,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4
2006-2007,4,Lyon,Nice,0,4,1,1,2,19,2.0,0.3333333333333333,1.0,1.0,2.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-2.0,5
2006-2007,5,Lyon,Troyes,1,2,0,1,2,15,2.5,1.0,1.0,1.5,3.0,0.5,1.0,1.5,1.0,2.0,1.0,1.0,3.0,-2.0,2
2006-2007,6,Lyon,Lorient,0,3,1,1,2,7,2.4,1.6,1.5,1.5,3.0,1.6666666666666667,0.8,1.2,0.5,1.0,1.0,1.3333333333333333,4.0,1.0,0
2006-2007,7,Lyon,Lille,1,4,1,1,1,6,2.5,1.8333333333333333,1.5,2.6666666666666665,3.0,1.0,0.8333333333333334,1.0,0.5,1.0,1.0,1.0,4.0,0.0,-3
2006-2007,8,Lyon,Sochaux,0,1,0,1,1,11,2.7142857142857144,1.4285714285714286,2.3333333333333335,1.3333333333333333,3.0,1.5,0.8571428571428571,1.7142857142857142,0.6666666666666666,2.0,1.0,1.5,5.0,-1.0,4
2006-2007,9,Lyon,Saint-Étienne,1,2,1,1,1,4,2.5,1.5,2.3333333333333335,1.6,2.6,1.3333333333333333,0.75,1.25,0.6666666666666666,1.4,0.8,1.0,5.0,1.0,3
2006-2007,10,Lyon,Marseille,0,4,1,1,1,2,2.4444444444444446,1.8888888888888888,2.25,2.25,2.6,1.6,0.7777777777777778,0.5555555555555556,0.75,0.25,0.8,0.8,5.0,2.0,3
2006-2007,11,Lyon,Nancy,1,1,0,1,1,3,2.6,1.0,2.25,1.3333333333333333,2.8333333333333335,0.5,0.8,0.5,0.75,0.3333333333333333,0.8333333333333334,0.75,5.0,2.0,2
2006-2007,12,Lyon,Rennes,0,0,1,-1,1,15,2.4545454545454546,0.8181818181818182,2.0,1.3333333333333333,2.8333333333333335,0.2,0.7272727272727273,1.0909090909090908,0.6,0.8333333333333334,0.8333333333333334,1.4,5.0,0.0,4
2006-2007,13,Lyon,Valenciennes,1,2,1,1,1,14,2.25,1.0,2.0,1.5,2.4285714285714284,0.5,0.75,1.5,0.6,0.8333333333333334,0.8571428571428571,2.1666666666666665,3.0,-1.0,0
2006-2007,14,Lyon,Sedan,0,1,0,1,1,20,2.230769230769231,1.2307692307692308,2.0,1.1428571428571428,2.4285714285714284,1.3333333333333333,0.7692307692307693,1.9230769230769231,0.6666666666666666,1.1428571428571428,0.8571428571428571,2.8333333333333335,3.0,-3.0,1
2006-2007,15,Lyon,Auxerre,1,1,0,1,1,13,2.142857142857143,1.0,2.0,1.125,2.25,0.8333333333333334,0.7142857142857143,1.2857142857142858,0.6666666666666666,1.25,0.75,1.3333333333333333,3.0,-1.0,6
2006-2007,16,Lyon,Le Mans,0,1,0,1,1,10,2.066666666666667,1.2666666666666666,1.8571428571428572,1.25,2.25,1.2857142857142858,0.6666666666666666,1.3333333333333333,0.5714285714285714,1.0,0.75,1.7142857142857142,3.0,1.0,4
2006-2007,17,Lyon,Paris Saint Germain,1,3,1,1,1,13,2.0,1.0,1.8571428571428572,1.1111111111111112,2.111111111111111,0.8571428571428571,0.625,1.25,0.5714285714285714,1.4444444444444444,0.6666666666666666,1.0,3.0,-2.0,0
2006-2007,18,Lyon,Lens,0,4,0,1,1,2,2.0588235294117645,1.5294117647058822,2.0,1.4444444444444444,2.111111111111111,1.625,0.6470588235294118,0.8823529411764706,0.625,0.2222222222222222,0.6666666666666666,1.625,5.0,3.0,4
2006-2007,19,Lyon,Monaco,1,0,0,0,1,14,2.1666666666666665,1.2777777777777777,2.0,1.6666666666666667,2.3,0.8888888888888888,0.6111111111111112,1.1666666666666667,0.625,1.2222222222222223,0.6,1.1111111111111112,5.0,1.0,-2
2006-2007,20,Lyon,Toulouse,0,0,2,-1,1,10,2.0526315789473686,1.0526315789473684,1.7777777777777777,1.2222222222222223,2.3,0.9,0.5789473684210527,1.3157894736842106,0.5555555555555556,1.1111111111111112,0.6,1.5,4.0,-2.0,4
2006-2007,21,Lyon,Bordeaux,1,1,2,-1,1,8,1.95,1.1,1.7777777777777777,1.4545454545454546,2.090909090909091,0.6666666666666666,0.65,1.15,0.5555555555555556,0.8181818181818182,0.7272727272727273,1.5555555555555556,2.0,-1.0,5
2006-2007,22,Lyon,Nice,1,1,1,0,1,19,1.9047619047619047,0.7142857142857143,1.7,1.2,2.090909090909091,0.2727272727272727,0.7142857142857143,1.0952380952380953,0.7,1.1,0.7272727272727273,1.0909090909090908,0.0,-3.0,6
2006-2007,23,Lyon,Troyes,0,0,1,-1,1,17,1.8636363636363635,1.0,1.6363636363636365,1.5,2.090909090909091,0.5833333333333334,0.7272727272727273,1.4090909090909092,0.7272727272727273,1.5,0.7272727272727273,1.3333333333333333,-1.0,0.0,3
2006-2007,24,Lyon,Lorient,1,1,0,1,1,7,1.7826086956521738,1.0869565217391304,1.6363636363636365,1.1818181818181819,1.9166666666666667,1.0,0.7391304347826086,1.0434782608695652,0.7272727272727273,0.8181818181818182,0.75,1.25,-3.0,3.0,1
2006-2007,25,Lyon,Lille,0,2,1,1,1,3,1.75,1.25,1.5833333333333333,1.4545454545454546,1.9166666666666667,1.0769230769230769,0.7083333333333334,0.875,0.6666666666666666,0.6363636363636364,0.75,1.0769230769230769,-2.0,1.0,-2
2006-2007,26,Lyon,Sochaux,1,3,3,0,1,4,1.76,1.08,1.5833333333333333,1.0833333333333333,1.9230769230769231,1.0769230769230769,0.72,1.0,0.6666666666666666,0.8333333333333334,0.7692307692307693,1.1538461538461537,0.0,0.0,5
2006-2007,27,Lyon,Saint-Étienne,0,3,1,1,1,5,1.8076923076923077,1.5769230769230769,1.6923076923076923,1.6923076923076923,1.9230769230769231,1.4615384615384615,0.8076923076923077,1.2692307692307692,0.8461538461538461,1.0769230769230769,0.7692307692307693,1.4615384615384615,1.0,-1.0,4
2006-2007,28,Lyon,Marseille,1,1,1,0,1,8,1.8518518518518519,1.1481481481481481,1.6923076923076923,1.4615384615384615,2.0,0.8571428571428571,0.8148148148148148,1.037037037037037,0.8461538461538461,0.8461538461538461,0.7857142857142857,1.2142857142857142,2.0,-3.0,4
2006-2007,29,Lyon,Nancy,0,3,0,1,1,13,1.8214285714285714,0.9285714285714286,1.6428571428571428,1.2142857142857142,2.0,0.6428571428571429,0.8214285714285714,1.1071428571428572,0.8571428571428571,0.9285714285714286,0.7857142857142857,1.2857142857142858,3.0,-2.0,3
2006-2007,30,Lyon,Rennes,1,0,0,0,1,11,1.8620689655172413,0.8620689655172413,1.6428571428571428,1.0666666666666667,2.066666666666667,0.6428571428571429,0.7931034482758621,0.8275862068965517,0.8571428571428571,0.8,0.7333333333333333,0.8571428571428571,3.0,0.0,3
2006-2007,31,Lyon,Valenciennes,0,0,0,0,1,14,1.8,1.0333333333333334,1.5333333333333334,1.0,2.066666666666667,1.0625,0.7666666666666667,1.3333333333333333,0.8,0.7857142857142857,0.7333333333333333,1.8125,2.0,1.0,1
2006-2007,32,Lyon,Sedan,1,1,0,1,1,19,1.7419354838709677,1.2258064516129032,1.5333333333333334,1.125,1.9375,1.3333333333333333,0.7419354838709677,1.5483870967741935,0.8,1.1875,0.6875,1.9333333333333333,2.0,1.0,2
2006-2007,33,Lyon,Auxerre,0,0,0,0,1,12,1.71875,1.0625,1.5,1.0625,1.9375,1.0625,0.71875,1.15625,0.75,0.75,0.6875,1.5625,2.0,1.0,7
2006-2007,34,Lyon,Le Mans,1,2,1,1,1,13,1.6666666666666667,1.1515151515151516,1.5,1.3529411764705883,1.8235294117647058,0.9375,0.696969696969697,1.1818181818181819,0.75,0.9411764705882353,0.6470588235294118,1.4375,2.0,-1.0,5
2006-2007,35,Lyon,Paris Saint Germain,0,1,1,0,1,15,1.6764705882352942,1.1176470588235294,1.5294117647058822,1.2352941176470589,1.8235294117647058,1.0,0.7058823529411765,1.1470588235294117,0.7647058823529411,1.2352941176470589,0.6470588235294118,1.0588235294117647,2.0,4.0,1
2006-2007,36,Lyon,Lens,1,3,0,1,1,2,1.6571428571428573,1.3428571428571427,1.5294117647058822,1.5555555555555556,1.7777777777777777,1.1176470588235294,0.7142857142857143,1.0,0.7647058823529411,0.8888888888888888,0.6666666666666666,1.1176470588235294,2.0,0.0,5
2006-2007,37,Lyon,Monaco,0,0,1,-1,1,14,1.6944444444444444,1.1666666666666667,1.6111111111111112,1.3529411764705883,1.7777777777777777,1.0,0.6944444444444444,1.0555555555555556,0.7222222222222222,1.0588235294117647,0.6666666666666666,1.0526315789473684,3.0,-1.0,-2
2006-2007,38,Lyon,Nantes,1,3,1,1,1,20,1.6486486486486487,0.7567567567567568,1.6111111111111112,0.7894736842105263,1.6842105263157894,0.7222222222222222,0.7027027027027027,1.2432432432432432,0.7222222222222222,1.2105263157894737,0.6842105263157895,1.2777777777777777,1.0,-1.0,5
2006-2007,1,Marseille,Sedan,0,0,0,0,,,,,,,,,,,,,,,,,2
2006-2007,2,Marseille,Rennes,1,2,0,1,11,14,0.0,1.0,,1.0,0.0,,0.0,2.0,,2.0,0.0,,0.0,-1.0,2
2006-2007,3,Marseille,Auxerre,0,3,0,1,5,11,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1
2006-2007,4,Marseille,Le Mans,1,2,0,1,1,3,1.6666666666666667,2.0,2.0,2.0,1.5,2.0,0.0,1.3333333333333333,0.0,1.0,0.0,2.0,2.0,2.0,0
2006-2007,5,Marseille,Paris Saint Germain,0,3,1,1,1,12,1.75,1.25,2.0,1.5,1.5,1.0,0.0,1.5,0.0,1.5,0.0,1.5,3.0,-1.0,-4
2006-2007,6,Marseille,Bordeaux,1,2,1,1,1,6,2.0,1.4,2.0,2.0,2.0,0.5,0.2,1.4,0.0,1.3333333333333333,0.3333333333333333,1.5,4.0,1.0,-1
2006-2007,7,Marseille,Nantes,0,1,2,-1,2,19,2.0,0.8333333333333334,2.0,1.0,2.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,5.0,-2.0,0
2006-2007,8,Marseille,Toulouse,1,3,0,1,2,5,1.8571428571428572,1.2857142857142858,2.0,1.0,1.75,1.5,0.5714285714285714,1.0,0.3333333333333333,0.6666666666666666,0.75,1.25,3.0,3.0,1
2006-2007,9,Marseille,Lens,0,1,1,0,2,6,2.0,1.5,2.25,1.5,1.75,1.5,0.5,1.25,0.25,0.25,0.75,2.25,3.0,1.0,2
2006-2007,10,Marseille,Lyon,1,1,4,-1,2,1,1.8888888888888888,2.4444444444444446,2.25,2.25,1.6,2.6,0.5555555555555556,0.7777777777777778,0.25,0.75,0.8,0.8,2.0,5.0,-3
2006-2007,11,Marseille,Nice,0,1,2,-1,2,17,1.8,0.9,2.0,1.75,1.6,0.3333333333333333,0.9,1.4,1.0,1.25,0.8,1.5,0.0,-1.0,4
2006-2007,12,Marseille,Lorient,1,0,1,-1,2,13,1.7272727272727273,0.9090909090909091,2.0,1.0,1.5,0.8333333333333334,1.0,1.1818181818181819,1.0,1.0,1.0,1.3333333333333333,-2.0,-1.0,0
2006-2007,13,Marseille,Lille,0,0,1,-1,6,3,1.5833333333333333,1.5833333333333333,1.6666666666666667,2.0,1.5,1.2857142857142858,1.0,1.0,1.0,0.6,1.0,1.2857142857142858,-2.0,3.0,4
2006-2007,14,Marseille,Valenciennes,1,1,0,1,8,15,1.4615384615384615,1.0,1.6666666666666667,1.5,1.2857142857142858,0.5714285714285714,1.0,1.5384615384615385,1.0,0.8333333333333334,1.0,2.142857142857143,-4.0,-3.0,0
2006-2007,15,Marseille,Troyes,0,1,1,0,6,19,1.4285714285714286,0.8571428571428571,1.5714285714285714,1.5,1.2857142857142858,0.375,0.9285714285714286,1.5,0.8571428571428571,1.6666666666666667,1.0,1.375,-3.0,-3.0,2
2006-2007,16,Marseille,Sochaux,0,0,1,-1,7,4,1.4,1.3333333333333333,1.5714285714285714,1.0,1.25,1.625,0.9333333333333333,1.0666666666666667,0.8571428571428571,1.1428571428571428,1.0,1.0,-2.0,3.0,-1
2006-2007,17,Marseille,Monaco,1,2,1,1,9,16,1.3125,1.1875,1.5714285714285714,1.5,1.1111111111111112,0.875,0.9375,1.1875,0.8571428571428571,1.375,1.0,1.0,-2.0,2.0,-2
2006-2007,18,Marseille,Nancy,0,0,2,-1,6,7,1.3529411764705883,0.8235294117647058,1.625,1.3333333333333333,1.1111111111111112,0.25,0.9411764705882353,0.7647058823529411,0.875,0.6666666666666666,1.0,0.875,0.0,-2.0,1
2006-2007,19,Marseille,Saint-Étienne,1,2,1,1,7,3,1.2777777777777777,1.6666666666666667,1.625,2.0,1.0,1.25,1.0,1.1666666666666667,0.875,0.8,1.1,1.625,0.0,2.0,-1
2006-2007,20,Marseille,Rennes,0,2,0,1,6,9,1.3157894736842106,0.8421052631578947,1.6666666666666667,1.3,1.0,0.3333333333333333,1.0,0.8421052631578947,0.8888888888888888,0.7,1.1,1.0,0.0,1.0,3
2006-2007,21,Marseille,Auxerre,1,3,1,1,3,11,1.35,1.05,1.6666666666666667,1.0909090909090908,1.0909090909090908,1.0,0.95,1.2,0.8888888888888888,1.0,1.0,1.4444444444444444,1.0,2.0,2
2006-2007,22,Marseille,Le Mans,0,0,2,-1,2,10,1.4285714285714286,1.1428571428571428,1.8,1.2727272727272727,1.0909090909090908,1.0,0.9523809523809523,1.0952380952380953,0.9,0.8181818181818182,1.0,1.4,3.0,1.0,1
2006-2007,23,Marseille,Paris Saint Germain,1,1,1,0,4,16,1.3636363636363635,0.8636363636363636,1.8,0.9166666666666666,1.0,0.8,1.0,1.2272727272727273,0.9,1.25,1.0833333333333333,1.2,1.0,-2.0,-3
2006-2007,24,Marseille,Bordeaux,0,0,1,-1,4,9,1.3478260869565217,1.0869565217391304,1.7272727272727273,1.3333333333333333,1.0,0.8181818181818182,1.0,1.173913043478261,0.9090909090909091,0.8333333333333334,1.0833333333333333,1.5454545454545454,2.0,0.0,0
2006-2007,25,Marseille,Nantes,1,0,0,0,4,19,1.2916666666666667,0.7916666666666666,1.7272727272727273,0.9230769230769231,0.9230769230769231,0.6363636363636364,1.0,1.2916666666666667,0.9090909090909091,1.3846153846153846,1.0769230769230769,1.1818181818181819,0.0,-2.0,-1
2006-2007,26,Marseille,Toulouse,0,0,3,-1,5,6,1.24,1.08,1.5833333333333333,1.25,0.9230769230769231,0.9230769230769231,0.96,1.12,0.8333333333333334,0.9166666666666666,1.0769230769230769,1.3076923076923077,-1.0,2.0,2
2006-2007,27,Marseille,Lens,1,0,1,-1,8,2,1.1923076923076923,1.5384615384615385,1.5833333333333333,1.5714285714285714,0.8571428571428571,1.5,1.0384615384615385,1.1153846153846154,0.8333333333333334,0.9285714285714286,1.2142857142857142,1.3333333333333333,-3.0,2.0,2
2006-2007,28,Marseille,Lyon,0,1,1,0,8,1,1.1481481481481481,1.8518518518518519,1.4615384615384615,1.6923076923076923,0.8571428571428571,2.0,1.037037037037037,0.8148148148148148,0.8461538461538461,0.8461538461538461,1.2142857142857142,0.7857142857142857,-3.0,2.0,-4
2006-2007,29,Marseille,Nice,1,3,0,1,8,16,1.1428571428571428,0.8928571428571429,1.4615384615384615,1.4285714285714286,0.8666666666666667,0.35714285714285715,1.0357142857142858,0.9642857142857143,0.8461538461538461,1.0,1.2,0.9285714285714286,-3.0,3.0,3
2006-2007,30,Marseille,Lorient,0,1,2,-1,8,13,1.206896551724138,0.8620689655172413,1.5714285714285714,0.9285714285714286,0.8666666666666667,0.8,1.0,1.0,0.7857142857142857,0.7142857142857143,1.2,1.2666666666666666,-1.0,-2.0,-1
2006-2007,31,Marseille,Lille,1,4,1,1,8,6,1.2,1.2,1.5714285714285714,1.4,0.875,1.0,1.0333333333333334,0.9666666666666667,0.7857142857142857,0.8666666666666667,1.25,1.0666666666666667,-2.0,-2.0,3
2006-2007,32,Marseille,Valenciennes,0,0,0,0,6,14,1.2903225806451613,1.0,1.7333333333333334,0.9333333333333333,0.875,1.0625,1.032258064516129,1.2903225806451613,0.8,0.7333333333333333,1.25,1.8125,0.0,2.0,1
2006-2007,33,Marseille,Troyes,1,2,1,1,6,18,1.25,0.90625,1.7333333333333334,1.3125,0.8235294117647058,0.5,1.0,1.40625,0.8,1.1875,1.1764705882352942,1.625,1.0,-3.0,2
2006-2007,34,Marseille,Sochaux,1,4,2,1,5,7,1.2727272727272727,1.1515151515151516,1.75,1.25,0.8235294117647058,1.0588235294117647,1.0,1.1515151515151516,0.8125,1.0,1.1764705882352942,1.2941176470588236,2.0,1.0,-2
2006-2007,35,Marseille,Monaco,0,2,1,1,4,11,1.3529411764705883,1.1764705882352942,1.8823529411764706,1.375,0.8235294117647058,1.0,1.0294117647058822,1.0,0.8823529411764706,1.0,1.1764705882352942,1.0,2.0,1.0,-1
2006-2007,36,Marseille,Nancy,1,2,1,1,4,12,1.3714285714285714,0.8857142857142857,1.8823529411764706,1.1666666666666667,0.8888888888888888,0.5882352941176471,1.0285714285714285,1.0857142857142856,0.8823529411764706,0.9444444444444444,1.1666666666666667,1.2352941176470589,4.0,2.0,0
2006-2007,37,Marseille,Saint-Étienne,0,2,1,1,2,8,1.3888888888888888,1.4166666666666667,1.8888888888888888,1.6666666666666667,0.8888888888888888,1.1666666666666667,1.0277777777777777,1.3055555555555556,0.8888888888888888,1.2222222222222223,1.1666666666666667,1.3888888888888888,4.0,-2.0,0
2006-2007,38,Marseille,Sedan,1,1,0,1,2,19,1.4054054054054055,1.2432432432432432,1.8888888888888888,1.2105263157894737,0.9473684210526315,1.2777777777777777,1.027027027027027,1.5405405405405406,0.8888888888888888,1.1578947368421053,1.1578947368421053,1.9444444444444444,5.0,-1.0,2
2006-2007,1,Monaco,Nancy,0,0,1,-1,,,,,,,,,,,,,,,,,1
