Saison,Journée,Domicile,Extérieur,Buts domicile,Buts extérieur,Résultat
2002-2003,23,Lille,Strasbourg,0,1,-1
2002-2003,23,Rennes,Bastia,0,1,-1
2002-2003,24,Marseille,Nice,2,0,1
2002-2003,24,Paris Saint Germain,Lille,1,0,1
2002-2003,24,Montpellier,Ajaccio,0,1,-1
2002-2003,24,Sedan,Strasbourg,2,1,1
2002-2003,24,Lens,Lyon,2,2,0
2002-2003,24,Troyes,Bordeaux,0,1,-1
2002-2003,24,Bastia,Auxerre,2,0,1
2002-2003,24,Sochaux,Rennes,1,0,1
2002-2003,24,Guingamp,Le Havre,1,2,-1
2002-2003,24,Nantes,Monaco,0,2,-1
2002-2003,25,Nice,Guingamp,1,0,1
2002-2003,25,Strasbourg,Paris Saint Germain,0,1,-1
2002-2003,25,Rennes,Lens,1,1,0
2002-2003,25,Monaco,Sedan,3,0,1
2002-2003,25,Le Havre,Troyes,1,0,1
2002-2003,25,Lyon,Nantes,0,0,0
2002-2003,25,Ajaccio,Bastia,1,1,0
2002-2003,25,Auxerre,Sochaux,2,0,1
2002-2003,25,Bordeaux,Marseille,3,1,1
2002-2003,26,Monaco,Lyon,2,0,1
2002-2003,26,Sedan,Auxerre,1,2,-1
2002-2003,26,Montpellier,Strasbourg,2,1,1
2002-2003,26,Nantes,Rennes,1,0,1
2002-2003,26,Marseille,Le Havre,2,0,1
2002-2003,26,Troyes,Nice,1,0,1
2002-2003,26,Bastia,Paris Saint Germain,1,0,1
2002-2003,26,Lens,Bordeaux,3,3,0
2002-2003,27,Ajaccio,Marseille,0,2,-1
2002-2003,27,Strasbourg,Guingamp,3,1,1
2002-2003,27,Bordeaux,Bastia,0,2,-1
2002-2003,27,Le Havre,Sedan,2,1,1
2002-2003,27,Lyon,Troyes,0,0,0
2002-2003,27,Paris Saint Germain,Montpellier,1,3,-1
2002-2003,27,Rennes,Monaco,0,0,0
2002-2003,27,Lille,Lens,0,2,-1
2002-2003,27,Nice,Sochaux,2,2,0
2002-2003,27,Auxerre,Nantes,0,1,-1
2002-2003,21,Nantes,Sochaux,0,1,-1
2002-2003,22,Troyes,Lille,2,0,1
2002-2003,28,Nantes,Ajaccio,1,0,1
2002-2003,28,Bastia,Nice,1,1,0
2002-2003,28,Guingamp,Paris Saint Germain,3,2,1
2002-2003,28,Lens,Montpellier,4,0,1
2002-2003,28,Sochaux,Le Havre,1,0,1
2002-2003,28,Sedan,Bordeaux,0,1,-1
2002-2003,28,Lyon,Rennes,4,1,1
2002-2003,28,Troyes,Strasbourg,1,0,1
2002-2003,28,Marseille,Lille,2,0,1
2002-2003,28,Monaco,Auxerre,3,1,1
2002-2003,29,Nice,Nantes,1,1,0
2002-2003,29,Lille,Monaco,1,3,-1
2002-2003,29,Bordeaux,Sochaux,2,0,1
2002-2003,29,Le Havre,Bastia,2,0,1
2002-2003,29,Rennes,Sedan,1,0,1
2002-2003,29,Ajaccio,Lens,0,0,0
2002-2003,29,Strasbourg,Marseille,0,0,0
2002-2003,29,Montpellier,Guingamp,2,0,1
2002-2003,29,Paris Saint Germain,Troyes,4,2,1
2002-2003,29,Auxerre,Lyon,1,2,-1
2002-2003,30,Lens,Nice,0,0,0
2002-2003,30,Nantes,Le Havre,2,0,1
2002-2003,30,Sochaux,Lille,2,2,0
2002-2003,30,Bastia,Strasbourg,1,1,0
2002-2003,30,Troyes,Montpellier,0,2,-1
2002-2003,30,Rennes,Auxerre,0,0,0
2002-2003,30,Lyon,Ajaccio,3,1,1
2002-2003,30,Monaco,Bordeaux,0,1,-1
2002-2003,30,Sedan,Guingamp,2,0,1
2002-2003,30,Marseille,Paris Saint Germain,0,3,-1
2002-2003,22,Lens,Nantes,0,1,-1
2002-2003,25,Lille,Montpellier,2,0,1
2002-2003,26,Sochaux,Ajaccio,1,1,0
2002-2003,26,Guingamp,Lille,1,0,1
2002-2003,22,Strasbourg,Bordeaux,1,1,0
2002-2003,31,Lille,Bastia,1,1,0
2002-2003,31,Auxerre,Lens,0,0,0
2002-2003,31,Montpellier,Marseille,1,2,-1
2002-2003,31,Guingamp,Troyes,2,0,1
2002-2003,31,Bordeaux,Nantes,0,0,0
2002-2003,31,Paris Saint Germain,Sedan,2,0,1
2002-2003,31,Ajaccio,Rennes,1,0,1
2002-2003,31,Le Havre,Monaco,0,3,-1
2002-2003,31,Strasbourg,Sochaux,1,3,-1
2002-2003,31,Nice,Lyon,0,1,-1
2002-2003,32,Nantes,Lille,1,0,1
2002-2003,32,Bastia,Troyes,1,1,0
2002-2003,32,Sochaux,Paris Saint Germain,0,0,0
2002-2003,32,Sedan,Montpellier,1,2,-1
2002-2003,32,Marseille,Guingamp,0,2,-1
2002-2003,32,Lens,Strasbourg,1,1,0
2002-2003,32,Rennes,Bordeaux,3,4,-1
2002-2003,32,Lyon,Le Havre,2,1,1
2002-2003,32,Auxerre,Ajaccio,1,0,1
2002-2003,32,Monaco,Nice,0,1,-1
2002-2003,8,Auxerre,Sedan,3,1,1
2002-2003,33,Bordeaux,Lyon,0,1,-1
2002-2003,33,Montpellier,Sochaux,0,2,-1
2002-2003,33,Paris Saint Germain,Lens,0,1,-1
2002-2003,33,Nice,Auxerre,1,0,1
2002-2003,33,Lille,Sedan,0,0,0
2002-2003,33,Troyes,Marseille,0,0,0
2002-2003,33,Strasbourg,Nantes,2,0,1
2002-2003,33,Ajaccio,Monaco,2,4,-1
2002-2003,33,Guingamp,Bastia,3,0,1
2002-2003,33,Le Havre,Rennes,0,1,-1
2002-2003,34,Lyon,Lille,0,0,0
2002-2003,34,Auxerre,Le Havre,1,0,1
2002-2003,34,Sochaux,Guingamp,0,0,0
2002-2003,34,Nantes,Paris Saint Germain,1,1,0
2002-2003,34,Sedan,Troyes,4,0,1
2002-2003,34,Bastia,Montpellier,1,2,-1
2002-2003,34,Rennes,Nice,2,2,0
2002-2003,34,Ajaccio,Bordeaux,1,6,-1
2002-2003,34,Lens,Marseille,0,1,-1
2002-2003,34,Monaco,Strasbourg,2,0,1
2002-2003,35,Montpellier,Nantes,1,0,1
2002-2003,35,Marseille,Bastia,2,1,1
2002-2003,35,Lille,Rennes,1,0,1
2002-2003,35,Strasbourg,Lyon,0,4,-1
2002-2003,35,Troyes,Sochaux,0,2,-1
2002-2003,35,Bordeaux,Auxerre,0,1,-1
2002-2003,35,Nice,Sedan,0,0,0
2002-2003,35,Guingamp,Lens,1,0,1
2002-2003,35,Le Havre,Ajaccio,0,1,-1
2002-2003,35,Paris Saint Germain,Monaco,2,1,1
2002-2003,36,Sedan,Bastia,2,2,0
2002-2003,36,Sochaux,Marseille,3,0,1
2002-2003,36,Lens,Troyes,1,0,1
2002-2003,36,Auxerre,Lille,0,0,0
2002-2003,36,Bordeaux,Le Havre,2,0,1
2002-2003,36,Monaco,Montpellier,3,1,1
2002-2003,36,Rennes,Strasbourg,2,3,-1
2002-2003,36,Ajaccio,Nice,2,0,1
2002-2003,36,Nantes,Guingamp,0,4,-1
2002-2003,36,Lyon,Paris Saint Germain,1,0,1
2002-2003,37,Troyes,Nantes,2,0,1
2002-2003,37,Montpellier,Lyon,1,1,0
2002-2003,37,Marseille,Sedan,4,2,1
2002-2003,37,Le Havre,Lens,1,3,-1
2002-2003,37,Strasbourg,Auxerre,1,2,-1
2002-2003,37,Bastia,Sochaux,2,2,0
2002-2003,37,Guingamp,Monaco,3,1,1
2002-2003,37,Paris Saint Germain,Rennes,0,0,0
2002-2003,37,Lille,Ajaccio,2,0,1
2002-2003,37,Nice,Bordeaux,1,1,0
2002-2003,38,Ajaccio,Strasbourg,0,0,0
2002-2003,38,Bordeaux,Lille,2,0,1
2002-2003,38,Le Havre,Nice,2,1,1
2002-2003,38,Nantes,Marseille,1,0,1
2002-2003,38,Lyon,Guingamp,1,4,-1
2002-2003,38,Sochaux,Sedan,2,1,1
2002-2003,38,Auxerre,Paris Saint Germain,2,0,1
2002-2003,38,Lens,Bastia,2,0,1
2002-2003,38,Rennes,Montpellier,3,1,1
2002-2003,38,Monaco,Troyes,6,0,1
2003-2004,1,Lille,Lyon,1,0,1
2003-2004,1,Montpellier,Rennes,1,1,0
2003-2004,1,Lens,Le Mans,0,0,0
2003-2004,1,Sochaux,Nantes,2,1,1
2003-2004,1,Paris Saint Germain,Bastia,0,0,0
2003-2004,1,Auxerre,Nice,1,2,-1
2003-2004,1,Metz,Ajaccio,0,1,-1
2003-2004,1,Toulouse,Strasbourg,1,1,0
2003-2004,1,Guingamp,Marseille,0,1,-1
2003-2004,1,Monaco,Bordeaux,2,0,1
2003-2004,2,Marseille,Auxerre,1,0,1
2003-2004,2,Nice,Sochaux,1,0,1
2003-2004,2,Le Mans,Ajaccio,0,1,-1
2003-2004,2,Nantes,Lens,2,0,1
2003-2004,2,Bastia,Metz,0,2,-1
2003-2004,2,Lyon,Monaco,3,1,1
2003-2004,2,Bordeaux,Montpellier,0,1,-1
2003-2004,2,Lille,Paris Saint Germain,1,0,1
2003-2004,2,Rennes,Toulouse,1,0,1
2003-2004,2,Strasbourg,Guingamp,2,0,1
2003-2004,3,Le Mans,Nice,1,1,0
2003-2004,3,Montpellier,Lyon,0,2,-1
2003-2004,3,Toulouse,Lille,0,3,-1
2003-2004,3,Auxerre,Strasbourg,3,2,1
2003-2004,3,Metz,Paris Saint Germain,0,1,-1
2003-2004,3,Guingamp,Bordeaux,1,3,-1
2003-2004,3,Sochaux,Rennes,1,1,0
2003-2004,3,Monaco,Bastia,2,0,1
2003-2004,3,Ajaccio,Nantes,1,3,-1
2003-2004,3,Lens,Marseille,2,1,1
2003-2004,4,Nice,Ajaccio,2,2,0
2003-2004,4,Lyon,Toulouse,0,0,0
2003-2004,4,Rennes,Guingamp,0,0,0
2003-2004,4,Strasbourg,Lens,0,1,-1
2003-2004,4,Nantes,Le Mans,1,0,1
2003-2004,4,Marseille,Sochaux,2,0,1
2003-2004,4,Lille,Metz,1,1,0
2003-2004,4,Bordeaux,Auxerre,2,0,1
2003-2004,4,Bastia,Montpellier,1,0,1
2003-2004,4,Paris Saint Germain,Monaco,2,4,-1
2003-2004,5,Auxerre,Rennes,2,1,1
2003-2004,5,Le Mans,Strasbourg,0,3,-1
2003-2004,5,Sochaux,Lille,2,1,1
2003-2004,5,Guingamp,Lyon,2,0,1
2003-2004,5,Montpellier,Paris Saint Germain,3,2,1
2003-2004,5,Toulouse,Bastia,0,2,-1
2003-2004,5,Nantes,Bordeaux,0,0,0
2003-2004,5,Lens,Nice,1,0,1
2003-2004,5,Ajaccio,Marseille,0,1,-1
2003-2004,5,Monaco,Metz,1,0,1
2003-2004,6,Bordeaux,Sochaux,1,3,-1
2003-2004,6,Lyon,Auxerre,1,1,0
2003-2004,6,Lille,Monaco,1,1,0
2003-2004,6,Metz,Montpellier,2,1,1
2003-2004,6,Marseille,Le Mans,5,0,1
2003-2004,6,Strasbourg,Ajaccio,3,2,1
2003-2004,6,Rennes,Lens,2,0,1
2003-2004,6,Nice,Nantes,1,0,1
2003-2004,6,Bastia,Guingamp,4,2,1
2003-2004,6,Paris Saint Germain,Toulouse,2,1,1
2003-2004,7,Lens,Bordeaux,1,0,1
2003-2004,7,Auxerre,Bastia,4,1,1
2003-2004,7,Toulouse,Metz,1,0,1
2003-2004,7,Nice,Lille,2,0,1
2003-2004,7,Guingamp,Paris Saint Germain,0,2,-1
2003-2004,7,Sochaux,Strasbourg,3,0,1
2003-2004,7,Ajaccio,Rennes,1,0,1
2003-2004,7,Le Mans,Lyon,0,2,-1
2003-2004,7,Nantes,Marseille,1,0,1
2003-2004,7,Montpellier,Monaco,1,2,-1
2003-2004,8,Lille,Montpellier,1,1,0
2003-2004,8,Marseille,Nice,2,1,1
2003-2004,8,Metz,Guingamp,1,1,0
2003-2004,8,Rennes,Le Mans,2,0,1
2003-2004,8,Monaco,Toulouse,3,0,1
2003-2004,8,Bastia,Sochaux,2,0,1
2003-2004,8,Paris Saint Germain,Auxerre,1,0,1
2003-2004,8,Lyon,Lens,4,0,1
2003-2004,8,Bordeaux,Ajaccio,1,0,1
2003-2004,8,Strasbourg,Nantes,1,0,1
2003-2004,9,Ajaccio,Lyon,2,4,-1
2003-2004,9,Guingamp,Monaco,1,2,-1
2003-2004,9,Lens,Metz,0,2,-1
2003-2004,9,Auxerre,Lille,3,0,1
2003-2004,9,Le Mans,Bordeaux,0,0,0
2003-2004,9,Nantes,Rennes,1,0,1
2003-2004,9,Toulouse,Montpellier,2,2,0
2003-2004,9,Sochaux,Paris Saint Germain,0,1,-1
2003-2004,9,Nice,Strasbourg,0,0,0
2003-2004,9,Marseille,Bastia,3,1,1
2003-2004,10,Strasbourg,Marseille,4,1,1
2003-2004,10,Metz,Nantes,1,3,-1
2003-2004,10,Rennes,Nice,0,0,0
2003-2004,10,Lyon,Sochaux,1,1,0
2003-2004,10,Paris Saint Germain,Le Mans,5,1,1
2003-2004,10,Lille,Ajaccio,0,0,0
2003-2004,10,Bastia,Lens,3,1,1
2003-2004,10,Monaco,Auxerre,1,1,0
2003-2004,10,Montpellier,Guingamp,2,0,1
2003-2004,10,Bordeaux,Toulouse,1,2,-1
2003-2004,11,Le Mans,Bastia,1,1,0
2003-2004,11,Guingamp,Toulouse,1,0,1
2003-2004,11,Nantes,Lyon,0,1,-1
2003-2004,11,Ajaccio,Paris Saint Germain,0,0,0
2003-2004,11,Marseille,Rennes,2,0,1
2003-2004,11,Auxerre,Montpellier,0,1,-1
2003-2004,11,Nice,Bordeaux,0,0,0
2003-2004,11,Strasbourg,Metz,0,2,-1
2003-2004,11,Lens,Lille,2,1,1
2003-2004,11,Sochaux,Monaco,1,1,0
2003-2004,12,Bastia,Ajaccio,1,1,0
2003-2004,12,Montpellier,Nantes,4,1,1
2003-2004,12,Toulouse,Auxerre,0,3,-1
2003-2004,12,Lyon,Nice,5,0,1
2003-2004,12,Metz,Sochaux,0,1,-1
2003-2004,12,Bordeaux,Marseille,1,0,1
2003-2004,12,Lille,Guingamp,1,3,-1
2003-2004,12,Monaco,Le Mans,4,2,1
2003-2004,12,Rennes,Strasbourg,1,1,0
2003-2004,12,Paris Saint Germain,Lens,0,1,-1
2003-2004,13,Le Mans,Metz,2,0,1
2003-2004,13,Nantes,Paris Saint Germain,0,1,-1
2003-2004,13,Rennes,Lille,2,2,0
2003-2004,13,Nice,Bastia,2,0,1
2003-2004,13,Ajaccio,Monaco,0,1,-1
2003-2004,13,Strasbourg,Bordeaux,1,1,0
2003-2004,13,Auxerre,Guingamp,3,0,1
2003-2004,13,Marseille,Lyon,1,4,-1
2003-2004,13,Lens,Montpellier,3,2,1
2003-2004,13,Sochaux,Toulouse,3,1,1
2003-2004,14,Lyon,Strasbourg,1,0,1
2003-2004,14,Toulouse,Le Mans,1,1,0
2003-2004,14,Monaco,Lens,2,0,1
2003-2004,14,Bordeaux,Rennes,2,1,1
2003-2004,14,Lille,Marseille,0,2,-1
2003-2004,14,Montpellier,Ajaccio,3,1,1
2003-2004,14,Metz,Auxerre,0,2,-1
2003-2004,14,Bastia,Nantes,1,3,-1
2003-2004,14,Guingamp,Sochaux,1,2,-1
2003-2004,14,Paris Saint Germain,Nice,0,0,0
2003-2004,15,Nice,Metz,1,1,0
2003-2004,15,Rennes,Lyon,3,1,1
2003-2004,15,Ajaccio,Toulouse,2,1,1
2003-2004,15,Strasbourg,Lille,2,2,0
2003-2004,15,Le Mans,Montpellier,4,0,1
2003-2004,15,Nantes,Monaco,0,1,-1
2003-2004,15,Sochaux,Auxerre,3,2,1
2003-2004,15,Marseille,Paris Saint Germain,0,1,-1
2003-2004,15,Lens,Guingamp,2,1,1
2003-2004,15,Bordeaux,Bastia,1,1,0
2003-2004,16,Bastia,Rennes,3,2,1
2003-2004,16,Lille,Nantes,2,0,1
2003-2004,16,Auxerre,Le Mans,1,0,1
2003-2004,16,Toulouse,Lens,1,2,-1
2003-2004,16,Guingamp,Ajaccio,2,0,1
2003-2004,16,Paris Saint Germain,Strasbourg,3,2,1
2003-2004,17,Marseille,Monaco,1,2,-1
2003-2004,17,Lyon,Metz,2,1,1
2003-2004,17,Rennes,Paris Saint Germain,1,1,0
2003-2004,17,Ajaccio,Auxerre,1,2,-1
2003-2004,17,Lens,Sochaux,0,3,-1
