,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
155,2023-09-16,17:00,Ligue 1,Matchweek 5,Sat,Away,D,2.0,2.0,Rennes,1.0,0.5,53.0,28178.0,Benjamin André,4-2-3-1,Jérôme Brisard,Match Report,,Lille
156,2023-09-20,16:30,Conf Lg,Group stage,Wed,Home,W,2.0,0.0,si Olimpija,3.2,0.3,61.0,,Benjamin André,4-2-3-1,Joey Kooij,Match Report,,Lille
157,2023-09-26,21:00,Ligue 1,Matchweek 6,Tue,Home,L,1.0,2.0,Reims,1.2,0.5,69.0,33075.0,Benjamin André,4-2-3-1,Jérémie Pignard,Match Report,,Lille
158,2023-10-01,15:00,Ligue 1,Matchweek 7,Sun,Away,W,2.0,0.0,Le Havre,1.2,0.8,62.0,21919.0,Benjamin André,4-2-3-1,Bastien Dechepy,Match Report,,Lille
159,2023-10-05,17:45,Conf Lg,Group stage,Thu,Away,D,0.0,0.0,fo KÍ,0.7,0.1,74.0,,Benjamin André,4-2-3-1,Elchin Masiyev,Match Report,,Lille
160,2023-10-08,17:05,Ligue 1,Matchweek 8,Sun,Away,D,1.0,1.0,Lens,1.7,2.0,55.0,37223.0,Benjamin André,4-2-3-1,Benoît Millot,Match Report,,Lille
161,2023-10-22,15:00,Ligue 1,Matchweek 9,Sun,Home,W,1.0,0.0,Brest,1.6,0.8,43.0,34358.0,Benjamin André,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,Lille
162,2023-10-26,18:45,Conf Lg,Group stage,Thu,Home,W,2.0,1.0,sk Slovan Bratislava,2.1,1.3,65.0,,Benjamin André,4-2-3-1,Luca Pairetto,Match Report,,Lille
163,2023-10-29,15:00,Ligue 1,Matchweek 10,Sun,Home,W,2.0,0.0,Monaco,0.5,0.6,41.0,40046.0,Benjamin André,4-2-3-1,Clément Turpin,Match Report,,Lille
164,2023-11-04,21:00,Ligue 1,Matchweek 11,Sat,Away,D,0.0,0.0,Marseille,0.3,0.8,54.0,63674.0,Benjamin André,4-2-3-1,Stéphanie Frappart,Match Report,,Lille
165,2023-11-09,21:00,Conf Lg,Group stage,Thu,Away,D,1.0,1.0,sk Slovan Bratislava,1.1,1.1,70.0,,Benjamin André,4-2-3-1,Gergő Bogár,Match Report,,Lille
166,2023-11-12,15:00,Ligue 1,Matchweek 12,Sun,Home,D,1.0,1.0,Toulouse,2.5,0.1,60.0,34959.0,Benjamin André,4-2-3-1,Mathieu Vernice,Match Report,,Lille
167,2023-11-26,20:45,Ligue 1,Matchweek 13,Sun,Away,W,2.0,0.0,Lyon,1.5,1.9,52.0,40029.0,Jonathan David,4-2-3-1,Eric Wattellier,Match Report,,Lille
168,2023-11-30,18:45,Conf Lg,Group stage,Thu,Away,W,2.0,0.0,si Olimpija,2.0,0.9,49.0,,Benjamin André,4-2-3-1,Sven Jablonski,Match Report,,Lille
169,2023-12-03,17:05,Ligue 1,Matchweek 14,Sun,Home,W,2.0,0.0,Metz,2.9,1.9,65.0,38065.0,Rémy Cabella,4-2-3-1,Gaël Angoula,Match Report,,Lille
170,2023-12-10,15:00,Ligue 1,Matchweek 15,Sun,Away,D,0.0,0.0,Clermont Foot,1.0,1.3,53.0,8789.0,Benjamin André,4-2-3-1,Florent Batta,Match Report,,Lille
171,2023-12-14,21:00,Conf Lg,Group stage,Thu,Home,W,3.0,0.0,fo KÍ,3.6,0.8,70.0,,Rémy Cabella,4-2-3-1,António Nobre,Match Report,,Lille
172,2023-12-17,20:45,Ligue 1,Matchweek 16,Sun,Home,D,1.0,1.0,Paris S-G,1.4,1.4,41.0,47993.0,Benjamin André,4-2-3-1,Willy Delajod,Match Report,,Lille
173,2023-12-20,21:00,Ligue 1,Matchweek 17,Wed,Away,L,1.0,2.0,Strasbourg,0.5,0.8,68.0,25373.0,Benjamin André,4-2-3-1,Clément Turpin,Match Report,,Lille
174,2024-01-06,15:30,Coupe de France,Round of 64,Sat,Home,,,,Golden Lion de Saint-Joseph,,,,,,,,Head-to-Head,,Lille
175,2024-01-14,13:00,Ligue 1,Matchweek 18,Sun,Home,,,,Lorient,,,,,,,,Head-to-Head,,Lille
176,2024-01-28,,Ligue 1,Matchweek 19,Sun,Away,,,,Montpellier,,,,,,,,Head-to-Head,,Lille
177,2024-02-04,,Ligue 1,Matchweek 20,Sun,Home,,,,Clermont Foot,,,,,,,,Head-to-Head,,Lille
178,2024-02-11,,Ligue 1,Matchweek 21,Sun,Away,,,,Paris S-G,,,,,,,,Head-to-Head,,Lille
179,2024-02-18,,Ligue 1,Matchweek 22,Sun,Home,,,,Le Havre,,,,,,,,Head-to-Head,,Lille
180,2024-02-25,,Ligue 1,Matchweek 23,Sun,Away,,,,Toulouse,,,,,,,,Head-to-Head,,Lille
181,2024-03-03,,Ligue 1,Matchweek 24,Sun,Away,,,,Reims,,,,,,,,Head-to-Head,,Lille
182,2024-03-10,,Ligue 1,Matchweek 25,Sun,Home,,,,Rennes,,,,,,,,Head-to-Head,,Lille
183,2024-03-17,,Ligue 1,Matchweek 26,Sun,Away,,,,Brest,,,,,,,,Head-to-Head,,Lille
184,2024-03-31,,Ligue 1,Matchweek 27,Sun,Home,,,,Lens,,,,,,,,Head-to-Head,,Lille
185,2024-04-07,,Ligue 1,Matchweek 28,Sun,Home,,,,Marseille,,,,,,,,Head-to-Head,,Lille
186,2024-04-14,,Ligue 1,Matchweek 29,Sun,Away,,,,Monaco,,,,,,,,Head-to-Head,,Lille
187,2024-04-21,,Ligue 1,Matchweek 30,Sun,Home,,,,Strasbourg,,,,,,,,Head-to-Head,,Lille
188,2024-04-28,,Ligue 1,Matchweek 31,Sun,Away,,,,Metz,,,,,,,,Head-to-Head,,Lille
189,2024-05-03,,Ligue 1,Matchweek 32,Fri,Home,,,,Lyon,,,,,,,,Head-to-Head,,Lille
190,2024-05-11,21:00,Ligue 1,Matchweek 33,Sat,Away,,,,Nantes,,,,,,,,Head-to-Head,,Lille
191,2024-05-18,21:00,Ligue 1,Matchweek 34,Sat,Home,,,,Nice,,,,,,,,Head-to-Head,,Lille
192,2023-08-09,21:00,Champions Lg,Third qualifying round,Wed,Away,L,0,1,gr Panathinaikos,,,,11270.0,Samuel Gigot,4-2-3-1,István Kovács,Match Report,Leg 1 of 2,Marseille
193,2023-08-12,17:00,Ligue 1,Matchweek 1,Sat,Home,W,2,1,Reims,1.0,0.8,42.0,63787.0,Valentin Rongier,4-4-2,Eric Wattellier,Match Report,,Marseille
194,2023-08-15,21:00,Champions Lg,Third qualifying round,Tue,Home,W,2 (3),1 (5),gr Panathinaikos,,,,63050.0,Valentin Rongier,4-4-2,Michael Oliver,Match Report,Leg 2 of 2; Panathinaikos won; Panathinaikos won on penalty kicks following extra time,Marseille
195,2023-08-18,21:00,Ligue 1,Matchweek 2,Fri,Away,D,2,2,Metz,1.9,0.5,57.0,26661.0,Valentin Rongier,4-4-2,Jérôme Brisard,Match Report,,Marseille
196,2023-08-26,19:00,Ligue 1,Matchweek 3,Sat,Home,W,2,0,Brest,2.9,1.5,44.0,63592.0,Valentin Rongier,4-4-2,Jeremy Stinat,Match Report,,Marseille
197,2023-09-01,21:00,Ligue 1,Matchweek 4,Fri,Away,D,1,1,Nantes,2.6,0.9,63.0,34600.0,Valentin Rongier,4-4-2,Ruddy Buquet,Match Report,,Marseille
198,2023-09-17,17:05,Ligue 1,Matchweek 5,Sun,Home,D,0,0,Toulouse,1.5,0.7,61.0,63477.0,Valentin Rongier,4-4-2,François Letexier,Match Report,,Marseille
199,2023-09-21,21:00,Europa Lg,Group stage,Thu,Away,D,3,3,nl Ajax,2.4,2.6,48.0,53000.0,Valentin Rongier,4-3-3,Maurizio Mariani,Match Report,,Marseille
200,2023-09-24,20:45,Ligue 1,Matchweek 6,Sun,Away,L,0,4,Paris S-G,0.7,1.9,24.0,47000.0,Valentin Rongier,3-5-2,Willy Delajod,Match Report,,Marseille
201,2023-09-30,21:00,Ligue 1,Matchweek 7,Sat,Away,L,2,3,Monaco,1.0,1.0,54.0,10200.0,Valentin Rongier,4-3-3,Benoît Bastien,Match Report,,Marseille
202,2023-10-05,18:45,Europa Lg,Group stage,Thu,Home,D,2,2,eng Brighton,1.3,2.4,46.0,63465.0,Valentin Rongier,4-3-3,Mykola Balakin,Match Report,,Marseille
203,2023-10-08,13:00,Ligue 1,Matchweek 8,Sun,Home,W,3,0,Le Havre,2.8,0.2,64.0,63576.0,Valentin Rongier,4-3-3,Thomas Léonard,Match Report,,Marseille
204,2023-10-21,21:00,Ligue 1,Matchweek 9,Sat,Away,L,0,1,Nice,1.1,0.6,50.0,31423.0,Valentin Rongier,4-2-3-1,Ruddy Buquet,Match Report,,Marseille
205,2023-10-26,18:45,Europa Lg,Group stage,Thu,Home,W,3,1,gr AEK Athens,3.0,1.0,60.0,65092.0,Valentin Rongier,4-3-3,Daniel Stefański,Match Report,,Marseille
206,2023-11-04,21:00,Ligue 1,Matchweek 11,Sat,Home,D,0,0,Lille,0.8,0.3,46.0,63674.0,Valentin Rongier,4-3-3,Stéphanie Frappart,Match Report,,Marseille
207,2023-11-09,22:00,Europa Lg,Group stage,Thu,Away,W,2,0,gr AEK Athens,2.2,1.9,45.0,,Geoffrey Kondogbia,4-4-2,Glenn Nyberg,Match Report,,Marseille
208,2023-11-12,20:45,Ligue 1,Matchweek 12,Sun,Away,L,0,1,Lens,1.0,1.1,53.0,38223.0,Samuel Gigot,4-2-3-1,Benoît Bastien,Match Report,,Marseille
209,2023-11-25,21:00,Ligue 1,Matchweek 13,Sat,Away,D,1,1,Strasbourg,1.4,1.1,60.0,25443.0,Geoffrey Kondogbia,4-2-3-1,Jérôme Brisard,Match Report,,Marseille
210,2023-11-30,21:00,Europa Lg,Group stage,Thu,Home,W,4,3,nl Ajax,3.0,1.4,48.0,,Samuel Gigot,4-4-2,Simone Sozza,Match Report,,Marseille
211,2023-12-03,20:45,Ligue 1,Matchweek 14,Sun,Home,W,2,0,Rennes,0.9,0.6,43.0,54162.0,Samuel Gigot,4-2-3-1,Willy Delajod,Match Report,,Marseille
212,2023-12-06,21:00,Ligue 1,Matchweek 10,Wed,Home,W,3,0,Lyon,2.2,0.2,49.0,54238.0,Samuel Gigot,3-5-2,François Letexier,Match Report,,Marseille
213,2023-12-10,20:45,Ligue 1,Matchweek 15,Sun,Away,W,4,2,Lorient,2.3,2.2,50.0,15848.0,Samuel Gigot,3-5-2,Eric Wattellier,Match Report,,Marseille
214,2023-12-14,20:00,Europa Lg,Group stage,Thu,Away,L,0,1,eng Brighton,0.4,1.2,39.0,,Chancel Mbemba,3-4-3,José Sánchez,Match Report,,Marseille
215,2023-12-17,17:05,Ligue 1,Matchweek 16,Sun,Home,W,2,1,Clermont Foot,2.4,0.2,55.0,63753.0,Samuel Gigot,3-5-2,Gaël Angoula,Match Report,,Marseille
216,2023-12-20,21:00,Ligue 1,Matchweek 17,Wed,Away,D,1,1,Montpellier,1.3,0.9,68.0,18565.0,Samuel Gigot,5-3-2,Thomas Léonard,Match Report,,Marseille
217,2024-01-07,14:30,Coupe de France,Round of 64,Sun,Away,,,,US Thionville Lusitanos,,,,,,,,Head-to-Head,,Marseille
218,2024-01-12,21:00,Ligue 1,Matchweek 18,Fri,Home,,,,Strasbourg,,,,,,,,Head-to-Head,,Marseille
219,2024-01-28,,Ligue 1,Matchweek 19,Sun,Home,,,,Monaco,,,,,,,,Head-to-Head,,Marseille
220,2024-02-04,,Ligue 1,Matchweek 20,Sun,Away,,,,Lyon,,,,,,,,Head-to-Head,,Marseille
221,2024-02-11,,Ligue 1,Matchweek 21,Sun,Home,,,,Metz,,,,,,,,Head-to-Head,,Marseille
222,2024-02-15,19:45,Europa Lg,Knockout round play-offs,Thu,Away,,,,ua Shakhtar,,,,,,,,Head-to-Head,Leg 1 of 2,Marseille
223,2024-02-18,,Ligue 1,Matchweek 22,Sun,Away,,,,Brest,,,,,,,,Head-to-Head,,Marseille
224,2024-02-22,21:00,Europa Lg,Knockout round play-offs,Thu,Home,,,,ua Shakhtar,,,,,,,,Head-to-Head,Leg 2 of 2,Marseille
225,2024-02-25,,Ligue 1,Matchweek 23,Sun,Home,,,,Montpellier,,,,,,,,Head-to-Head,,Marseille
226,2024-03-03,,Ligue 1,Matchweek 24,Sun,Away,,,,Clermont Foot,,,,,,,,Head-to-Head,,Marseille
227,2024-03-10,,Ligue 1,Matchweek 25,Sun,Home,,,,Nantes,,,,,,,,Head-to-Head,,Marseille
228,2024-03-17,,Ligue 1,Matchweek 26,Sun,Away,,,,Rennes,,,,,,,,Head-to-Head,,Marseille
229,2024-03-31,,Ligue 1,Matchweek 27,Sun,Home,,,,Paris S-G,,,,,,,,Head-to-Head,,Marseille
230,2024-04-07,,Ligue 1,Matchweek 28,Sun,Away,,,,Lille,,,,,,,,Head-to-Head,,Marseille
231,2024-04-14,,Ligue 1,Matchweek 29,Sun,Home,,,,Nice,,,,,,,,Head-to-Head,,Marseille
232,2024-04-21,,Ligue 1,Matchweek 30,Sun,Away,,,,Toulouse,,,,,,,,Head-to-Head,,Marseille
233,2024-04-28,,Ligue 1,Matchweek 31,Sun,Home,,,,Lens,,,,,,,,Head-to-Head,,Marseille
234,2024-05-03,,Ligue 1,Matchweek 32,Fri,Away,,,,Reims,,,,,,,,Head-to-Head,,Marseille
235,2024-05-11,21:00,Ligue 1,Matchweek 33,Sat,Home,,,,Lorient,,,,,,,,Head-to-Head,,Marseille
236,2024-05-18,21:00,Ligue 1,Matchweek 34,Sat,Away,,,,Le Havre,,,,,,,,Head-to-Head,,Marseille
237,2023-08-13,13:00,Ligue 1,Matchweek 1,Sun,Away,L,2.0,3.0,Brest,0.7,2.5,52.0,15085.0,Brice Samba,3-4-3,Jérémie Pignard,Match Report,,Lens
238,2023-08-20,20:45,Ligue 1,Matchweek 2,Sun,Home,D,1.0,1.0,Rennes,1.0,1.4,50.0,37233.0,Brice Samba,3-4-3,Benoît Millot,Match Report,,Lens
239,2023-08-26,21:00,Ligue 1,Matchweek 3,Sat,Away,L,1.0,3.0,Paris S-G,0.5,1.5,34.0,47864.0,Brice Samba,3-4-3,François Letexier,Match Report,,Lens
240,2023-09-02,21:00,Ligue 1,Matchweek 4,Sat,Away,L,0.0,3.0,Monaco,0.6,0.9,48.0,9600.0,Brice Samba,3-4-3,Willy Delajod,Match Report,,Lens
241,2023-09-16,21:00,Ligue 1,Matchweek 5,Sat,Home,L,0.0,1.0,Metz,2.0,0.3,75.0,37988.0,Brice Samba,3-4-3,Stéphanie Frappart,Match Report,,Lens
242,2023-09-20,21:00,Champions Lg,Group stage,Wed,Away,D,1.0,1.0,es Sevilla,1.3,0.8,44.0,33544.0,Brice Samba,3-4-3,Tobias Stieler,Match Report,,Lens
243,2023-09-24,15:00,Ligue 1,Matchweek 6,Sun,Home,W,2.0,1.0,Toulouse,2.5,0.4,62.0,37506.0,Brice Samba,3-4-3,Hakim Ben El Hadj Salem,Match Report,,Lens
244,2023-09-29,21:00,Ligue 1,Matchweek 7,Fri,Away,W,1.0,0.0,Strasbourg,0.8,0.3,52.0,26001.0,Brice Samba,3-4-3,Jérôme Brisard,Match Report,,Lens
245,2023-10-03,21:00,Champions Lg,Group stage,Tue,Home,W,2.0,1.0,eng Arsenal,0.7,1.5,34.0,37040.0,Brice Samba,3-4-3,Marco Guida,Match Report,,Lens
246,2023-10-08,17:05,Ligue 1,Matchweek 8,Sun,Home,D,1.0,1.0,Lille,2.0,1.7,45.0,37223.0,Brice Samba,3-4-3,Benoît Millot,Match Report,,Lens
247,2023-10-20,21:00,Ligue 1,Matchweek 9,Fri,Away,D,0.0,0.0,Le Havre,1.6,1.6,60.0,23590.0,Brice Samba,3-4-3,François Letexier,Match Report,,Lens
248,2023-10-24,21:00,Champions Lg,Group stage,Tue,Home,D,1.0,1.0,nl PSV Eindhoven,1.2,0.5,46.0,38133.0,Brice Samba,3-4-3,Radu Petrescu,Match Report,,Lens
249,2023-10-28,21:00,Ligue 1,Matchweek 10,Sat,Home,W,4.0,0.0,Nantes,3.7,1.0,54.0,38223.0,Brice Samba,3-4-3,Pierre Gaillouste,Match Report,,Lens
250,2023-11-04,17:00,Ligue 1,Matchweek 11,Sat,Away,D,0.0,0.0,Lorient,0.6,0.5,57.0,16599.0,Brice Samba,3-4-3,Bastien Dechepy,Match Report,,Lens
251,2023-11-08,21:00,Champions Lg,Group stage,Wed,Away,L,0.0,1.0,nl PSV Eindhoven,1.1,0.8,54.0,34200.0,Brice Samba,3-4-3,Daniel Siebert,Match Report,,Lens
252,2023-11-12,20:45,Ligue 1,Matchweek 12,Sun,Home,W,1.0,0.0,Marseille,1.1,1.0,47.0,38223.0,Brice Samba,3-4-3,Benoît Bastien,Match Report,,Lens
253,2023-11-25,17:00,Ligue 1,Matchweek 13,Sat,Away,W,3.0,0.0,Clermont Foot,2.2,1.9,52.0,10455.0,Brice Samba,3-4-3,Benoît Millot,Match Report,,Lens
254,2023-11-29,20:00,Champions Lg,Group stage,Wed,Away,L,0.0,6.0,eng Arsenal,0.4,2.6,52.0,59987.0,Brice Samba,3-4-3,Artur Soares Dias,Match Report,,Lens
255,2023-12-02,17:00,Ligue 1,Matchweek 14,Sat,Home,W,3.0,2.0,Lyon,2.1,2.5,52.0,38130.0,Brice Samba,3-4-3,Clément Turpin,Match Report,,Lens
256,2023-12-08,21:00,Ligue 1,Matchweek 15,Fri,Away,D,0.0,0.0,Montpellier,1.1,1.3,65.0,14169.0,Brice Samba,3-4-3,Stéphanie Frappart,Match Report,,Lens
257,2023-12-12,18:45,Champions Lg,Group stage,Tue,Home,W,2.0,1.0,es Sevilla,1.4,1.3,35.0,37456.0,Brice Samba,3-5-1-1,Felix Zwayer,Match Report,,Lens
258,2023-12-16,21:00,Ligue 1,Matchweek 16,Sat,Home,W,2.0,0.0,Reims,1.3,1.1,46.0,38055.0,Brice Samba,3-4-3,François Letexier,Match Report,,Lens
259,2023-12-20,21:00,Ligue 1,Matchweek 17,Wed,Away,L,0.0,2.0,Nice,0.5,2.5,59.0,25041.0,Brice Samba,3-4-3,Hakim Ben El Hadj Salem,Match Report,,Lens
260,2024-01-05,18:00,Coupe de France,Round of 64,Fri,Away,,,,FC Chambly,,,,,,,,Head-to-Head,,Lens
261,2024-01-07,14:30,Coupe de France,Round of 64,Sun,Home,,,,Monaco,,,,,,,,Head-to-Head,,Lens
262,2024-01-14,20:45,Ligue 1,Matchweek 18,Sun,Home,,,,Paris S-G,,,,,,,,Head-to-Head,,Lens
263,2024-01-28,,Ligue 1,Matchweek 19,Sun,Away,,,,Toulouse,,,,,,,,Head-to-Head,,Lens
264,2024-02-04,,Ligue 1,Matchweek 20,Sun,Away,,,,Nantes,,,,,,,,Head-to-Head,,Lens
265,2024-02-11,,Ligue 1,Matchweek 21,Sun,Home,,,,Strasbourg,,,,,,,,Head-to-Head,,Lens
266,2024-02-15,21:00,Europa Lg,Knockout round play-offs,Thu,Home,,,,de Freiburg,,,,,,,,Head-to-Head,Leg 1 of 2,Lens
267,2024-02-18,,Ligue 1,Matchweek 22,Sun,Away,,,,Reims,,,,,,,,Head-to-Head,,Lens
268,2024-02-22,18:45,Europa Lg,Knockout round play-offs,Thu,Away,,,,de Freiburg,,,,,,,,Head-to-Head,Leg 2 of 2,Lens
269,2024-02-25,,Ligue 1,Matchweek 23,Sun,Home,,,,Monaco,,,,,,,,Head-to-Head,,Lens
270,2024-03-03,,Ligue 1,Matchweek 24,Sun,Away,,,,Lyon,,,,,,,,Head-to-Head,,Lens
271,2024-03-10,,Ligue 1,Matchweek 25,Sun,Home,,,,Brest,,,,,,,,Head-to-Head,,Lens
272,2024-03-17,,Ligue 1,Matchweek 26,Sun,Home,,,,Nice,,,,,,,,Head-to-Head,,Lens
273,2024-03-31,,Ligue 1,Matchweek 27,Sun,Away,,,,Lille,,,,,,,,Head-to-Head,,Lens
274,2024-04-07,,Ligue 1,Matchweek 28,Sun,Home,,,,Le Havre,,,,,,,,Head-to-Head,,Lens
275,2024-04-14,,Ligue 1,Matchweek 29,Sun,Away,,,,Metz,,,,,,,,Head-to-Head,,Lens
276,2024-04-21,,Ligue 1,Matchweek 30,Sun,Home,,,,Clermont Foot,,,,,,,,Head-to-Head,,Lens
277,2024-04-28,,Ligue 1,Matchweek 31,Sun,Away,,,,Marseille,,,,,,,,Head-to-Head,,Lens
278,2024-05-03,,Ligue 1,Matchweek 32,Fri,Home,,,,Lorient,,,,,,,,Head-to-Head,,Lens
279,2024-05-11,21:00,Ligue 1,Matchweek 33,Sat,Away,,,,Rennes,,,,,,,,Head-to-Head,,Lens
280,2024-05-18,21:00,Ligue 1,Matchweek 34,Sat,Home,,,,Montpellier,,,,,,,,Head-to-Head,,Lens
281,2023-08-12,17:00,Ligue 1,Matchweek 1,Sat,Away,L,1.0,2.0,Marseille,0.8,1.0,58.0,63787.0,Yunis Abdelhamid,4-2-3-1,Eric Wattellier,Match Report,,Reims
282,2023-08-20,15:00,Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Clermont Foot,2.4,0.4,46.0,12887.0,Yunis Abdelhamid,4-2-3-1,Romain Lissorgue,Match Report,,Reims
283,2023-08-27,15:00,Ligue 1,Matchweek 3,Sun,Away,W,3.0,1.0,Montpellier,1.4,0.9,48.0,14476.0,Yunis Abdelhamid,4-3-3,Marc Bollengier,Match Report,,Reims
284,2023-09-03,15:00,Ligue 1,Matchweek 4,Sun,Away,D,2.0,2.0,Metz,0.7,1.1,64.0,24272.0,Yunis Abdelhamid,4-3-3,Mathieu Vernice,Match Report,,Reims
285,2023-09-17,15:00,Ligue 1,Matchweek 5,Sun,Home,L,1.0,2.0,Brest,1.7,1.5,52.0,12948.0,Yunis Abdelhamid,4-3-3,Gaël Angoula,Match Report,,Reims
286,2023-09-26,21:00,Ligue 1,Matchweek 6,Tue,Away,W,2.0,1.0,Lille,0.5,1.2,31.0,33075.0,Yunis Abdelhamid,4-3-3,Jérémie Pignard,Match Report,,Reims
287,2023-10-01,13:00,Ligue 1,Matchweek 7,Sun,Home,W,2.0,0.0,Lyon,2.0,0.7,50.0,16477.0,Yunis Abdelhamid,4-3-3,François Letexier,Match Report,,Reims
288,2023-10-07,21:00,Ligue 1,Matchweek 8,Sat,Home,L,1.0,3.0,Monaco,1.5,1.2,54.0,19000.0,Yunis Abdelhamid,4-3-3,Hakim Ben El Hadj Salem,Match Report,,Reims
289,2023-10-22,15:00,Ligue 1,Matchweek 9,Sun,Away,D,1.0,1.0,Toulouse,1.3,0.8,51.0,23895.0,Yunis Abdelhamid,3-4-1-2,Jeremy Stinat,Match Report,,Reims
290,2023-10-28,17:00,Ligue 1,Matchweek 10,Sat,Home,W,1.0,0.0,Lorient,0.8,0.4,57.0,14033.0,Yunis Abdelhamid,3-4-1-2,Benoît Bastien,Match Report,,Reims
291,2023-11-05,15:00,Ligue 1,Matchweek 11,Sun,Away,W,1.0,0.0,Nantes,1.1,1.8,50.0,33621.0,Yunis Abdelhamid,3-4-1-2,Gaël Angoula,Match Report,,Reims
292,2023-11-11,17:00,Ligue 1,Matchweek 12,Sat,Home,L,0.0,3.0,Paris S-G,1.3,2.3,39.0,20500.0,Yunis Abdelhamid,5-4-1,Willy Delajod,Match Report,,Reims
293,2023-11-26,17:05,Ligue 1,Matchweek 13,Sun,Away,L,1.0,3.0,Rennes,1.6,1.8,62.0,27718.0,Yunis Abdelhamid,4-3-3,Ruddy Buquet,Match Report,,Reims
294,2023-12-01,21:00,Ligue 1,Matchweek 14,Fri,Home,W,2.0,1.0,Strasbourg,1.3,1.7,51.0,14500.0,Yunis Abdelhamid,3-1-4-2,Hakim Ben El Hadj Salem,Match Report,,Reims
295,2023-12-10,13:00,Ligue 1,Matchweek 15,Sun,Away,L,1.0,2.0,Nice,1.3,0.9,48.0,24325.0,Yunis Abdelhamid,3-1-4-2,Benoît Bastien,Match Report,,Reims
296,2023-12-16,21:00,Ligue 1,Matchweek 16,Sat,Away,L,0.0,2.0,Lens,1.1,1.3,54.0,38055.0,Yunis Abdelhamid,4-3-3,François Letexier,Match Report,,Reims
297,2023-12-20,21:00,Ligue 1,Matchweek 17,Wed,Home,W,1.0,0.0,Le Havre,1.2,0.2,65.0,14835.0,Teddy Teuma,4-3-3,Stéphanie Frappart,Match Report,,Reims
298,2024-01-07,17:30,Coupe de France,Round of 64,Sun,Away,,,,Dinan-Léhon FC,,,,,,,,Head-to-Head,,Reims
299,2024-01-13,17:00,Ligue 1,Matchweek 18,Sat,Away,,,,Monaco,,,,,,,,Head-to-Head,,Reims
300,2024-01-28,,Ligue 1,Matchweek 19,Sun,Home,,,,Nantes,,,,,,,,Head-to-Head,,Reims
301,2024-02-04,,Ligue 1,Matchweek 20,Sun,Home,,,,Toulouse,,,,,,,,Head-to-Head,,Reims
302,2024-02-11,,Ligue 1,Matchweek 21,Sun,Away,,,,Lorient,,,,,,,,Head-to-Head,,Reims
303,2024-02-18,,Ligue 1,Matchweek 22,Sun,Home,,,,Lens,,,,,,,,Head-to-Head,,Reims
304,2024-02-25,,Ligue 1,Matchweek 23,Sun,Away,,,,Le Havre,,,,,,,,Head-to-Head,,Reims
305,2024-03-03,,Ligue 1,Matchweek 24,Sun,Home,,,,Lille,,,,,,,,Head-to-Head,,Reims
306,2024-03-10,,Ligue 1,Matchweek 25,Sun,Away,,,,Paris S-G,,,,,,,,Head-to-Head,,Reims
307,2024-03-17,,Ligue 1,Matchweek 26,Sun,Home,,,,Metz,,,,,,,,Head-to-Head,,Reims
308,2024-03-31,,Ligue 1,Matchweek 27,Sun,Away,,,,Lyon,,,,,,,,Head-to-Head,,Reims
309,2024-04-07,,Ligue 1,Matchweek 28,Sun,Home,,,,Nice,,,,,,,,Head-to-Head,,Reims
310,2024-04-14,,Ligue 1,Matchweek 29,Sun,Away,,,,Strasbourg,,,,,,,,Head-to-Head,,Reims
311,2024-04-21,,Ligue 1,Matchweek 30,Sun,Home,,,,Montpellier,,,,,,,,Head-to-Head,,Reims
312,2024-04-28,,Ligue 1,Matchweek 31,Sun,Away,,,,Clermont Foot,,,,,,,,Head-to-Head,,Reims
313,2024-05-03,,Ligue 1,Matchweek 32,Fri,Home,,,,Marseille,,,,,,,,Head-to-Head,,Reims
314,2024-05-11,21:00,Ligue 1,Matchweek 33,Sat,Away,,,,Brest,,,,,,,,Head-to-Head,,Reims
315,2024-05-18,21:00,Ligue 1,Matchweek 34,Sat,Home,,,,Rennes,,,,,,,,Head-to-Head,,Reims
316,2023-08-13,20:45,Ligue 1,Matchweek 1,Sun,Home,W,2.0,1.0,Lyon,1.3,1.7,36.0,25410.0,Matz Sels,3-5-2,Jérôme Brisard,Match Report,,Strasbourg
317,2023-08-20,19:00,Ligue 1,Matchweek 2,Sun,Away,L,0.0,3.0,Monaco,0.5,0.9,44.0,10100.0,Matz Sels,3-5-2,Ruddy Buquet,Match Report,,Strasbourg
318,2023-08-27,15:00,Ligue 1,Matchweek 3,Sun,Home,W,2.0,0.0,Toulouse,3.4,0.3,39.0,25090.0,Matz Sels,3-4-3,Benoît Bastien,Match Report,,Strasbourg
319,2023-09-03,17:05,Ligue 1,Matchweek 4,Sun,Away,L,0.0,2.0,Nice,0.2,2.2,38.0,20215.0,Matz Sels,3-4-3,Jeremy Stinat,Match Report,,Strasbourg
320,2023-09-17,15:00,Ligue 1,Matchweek 5,Sun,Home,D,2.0,2.0,Montpellier,2.3,1.1,44.0,25128.0,Matz Sels,4-2-3-1,Pierre Gaillouste,Match Report,,Strasbourg
321,2023-09-24,13:00,Ligue 1,Matchweek 6,Sun,Away,W,1.0,0.0,Metz,0.4,1.1,48.0,26661.0,Matz Sels,4-3-3,Clément Turpin,Match Report,,Strasbourg
