,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
33,2024-03-05,21:00,Champions Lg,Round of 16,Tue,Away,,,,es Real Sociedad,,,,,,,,Head-to-Head,Leg 2 of 2,Paris Saint Germain
34,2024-03-10,,Ligue 1,Matchweek 25,Sun,Home,,,,Reims,,,,,,,,Head-to-Head,,Paris Saint Germain
35,2024-03-17,,Ligue 1,Matchweek 26,Sun,Away,,,,Montpellier,,,,,,,,Head-to-Head,,Paris Saint Germain
36,2024-03-31,,Ligue 1,Matchweek 27,Sun,Away,,,,Marseille,,,,,,,,Head-to-Head,,Paris Saint Germain
37,2024-04-07,,Ligue 1,Matchweek 28,Sun,Home,,,,Clermont Foot,,,,,,,,Head-to-Head,,Paris Saint Germain
38,2024-04-14,,Ligue 1,Matchweek 29,Sun,Away,,,,Lorient,,,,,,,,Head-to-Head,,Paris Saint Germain
39,2024-04-21,,Ligue 1,Matchweek 30,Sun,Home,,,,Lyon,,,,,,,,Head-to-Head,,Paris Saint Germain
40,2024-04-28,,Ligue 1,Matchweek 31,Sun,Home,,,,Le Havre,,,,,,,,Head-to-Head,,Paris Saint Germain
41,2024-05-03,,Ligue 1,Matchweek 32,Fri,Away,,,,Nice,,,,,,,,Head-to-Head,,Paris Saint Germain
42,2024-05-11,21:00,Ligue 1,Matchweek 33,Sat,Home,,,,Toulouse,,,,,,,,Head-to-Head,,Paris Saint Germain
43,2024-05-18,21:00,Ligue 1,Matchweek 34,Sat,Away,,,,Metz,,,,,,,,Head-to-Head,,Paris Saint Germain
44,2023-08-11,21:00,Ligue 1,Matchweek 1,Fri,Home,D,1.0,1.0,Lille,1.2,1.3,40.0,29436.0,Dante,4-3-3,Benoît Bastien,Match Report,,Nice
45,2023-08-20,15:00,Ligue 1,Matchweek 2,Sun,Away,D,1.0,1.0,Lorient,1.7,0.8,59.0,15848.0,Dante,4-3-3,Hakim Ben El Hadj Salem,Match Report,,Nice
