Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team,DateTime
2024-02-04,20:45,Ligue 1,Matchweek 20,Sun,Away,,,,Lyon,,,,,,,,Head-to-Head,,Marseille,2024-02-04 20:45:00
2024-02-09,21:00,Ligue 1,Matchweek 21,Fri,Away,,,,Marseille,,,,,,,,Head-to-Head,,Metz,2024-02-09 21:00:00
2024-02-09,21:00,Ligue 1,Matchweek 21,Fri,Home,,,,Metz,,,,,,,,Head-to-Head,,Marseille,2024-02-09 21:00:00
2024-02-10,17:00,Ligue 1,Matchweek 21,Sat,Home,,,,Strasbourg,,,,,,,,Head-to-Head,,Lens,2024-02-10 17:00:00
2024-02-10,17:00,Ligue 1,Matchweek 21,Sat,Away,,,,Lens,,,,,,,,Head-to-Head,,Strasbourg,2024-02-10 17:00:00
2024-02-10,21:00,Ligue 1,Matchweek 21,Sat,Home,,,,Lille,,,,,,,,Head-to-Head,,Paris Saint Germain,2024-02-10 21:00:00
2024-02-10,21:00,Ligue 1,Matchweek 21,Sat,Away,,,,Paris S-G,,,,,,,,Head-to-Head,,Lille,2024-02-10 21:00:00
2024-02-11,13:00,Ligue 1,Matchweek 21,Sun,Away,,,,Le Havre,,,,,,,,Head-to-Head,,Rennes,2024-02-11 13:00:00
2024-02-11,13:00,Ligue 1,Matchweek 21,Sun,Home,,,,Rennes,,,,,,,,Head-to-Head,,Le Havre,2024-02-11 13:00:00
2024-02-11,15:00,Ligue 1,Matchweek 21,Sun,Home,,,,Nantes,,,,,,,,Head-to-Head,,Toulouse,2024-02-11 15:00:00
2024-02-11,15:00,Ligue 1,Matchweek 21,Sun,Away,,,,Lorient,,,,,,,,Head-to-Head,,Reims,2024-02-11 15:00:00
2024-02-11,15:00,Ligue 1,Matchweek 21,Sun,Home,,,,Reims,,,,,,,,Head-to-Head,,Lorient,2024-02-11 15:00:00
2024-02-11,15:00,Ligue 1,Matchweek 21,Sun,Away,,,,Clermont Foot,,,,,,,,Head-to-Head,,Brest,2024-02-11 15:00:00
2024-02-11,15:00,Ligue 1,Matchweek 21,Sun,Home,,,,Brest,,,,,,,,Head-to-Head,,Clermont Foot,2024-02-11 15:00:00
2024-02-11,15:00,Ligue 1,Matchweek 21,Sun,Away,,,,Toulouse,,,,,,,,Head-to-Head,,Nantes,2024-02-11 15:00:00
2024-02-11,17:05,Ligue 1,Matchweek 21,Sun,Away,,,,Montpellier,,,,,,,,Head-to-Head,,Lyon,2024-02-11 17:05:00
2024-02-11,17:05,Ligue 1,Matchweek 21,Sun,Home,,,,Lyon,,,,,,,,Head-to-Head,,Montpellier,2024-02-11 17:05:00
2024-02-11,20:45,Ligue 1,Matchweek 21,Sun,Home,,,,Monaco,,,,,,,,Head-to-Head,,Nice,2024-02-11 20:45:00
2024-02-11,20:45,Ligue 1,Matchweek 21,Sun,Away,,,,Nice,,,,,,,,Head-to-Head,,Monaco,2024-02-11 20:45:00
